sample,time,window,precision,modulation,band,power,payload,crc,tx2rxdone
255,40:53.8,1,2.00E-07,6,11,12,238,FALSE,0.216220643
256,40:55.1,0.04,4.00E-07,8,40,13,228,TRUE,0.015668557
257,41:42.2,10,5.00E-07,1,19,14,230,FALSE,4.556866228
258,41:50.7,1,2.00E-07,5,51,7,176,TRUE,0.284777057
259,41:53.2,0.4,4.00E-07,6,15,14,149,TRUE,0.141978142
260,41:55.9,0.4,4.00E-07,6,17,17,187,TRUE,0.172782573
261,41:58.3,0.4,4.00E-07,5,19,21,69,TRUE,0.126114126
262,41:59.6,0.04,4.00E-07,8,41,15,203,FALSE,0.013940939
263,42:15.0,4,8.00E-07,3,29,15,207,TRUE,1.036609007
264,43:23.7,20,1.00E-06,0,9,14,198,TRUE,7.149663357
265,43:26.4,0.4,4.00E-07,6,49,18,169,FALSE,0.157338557
266,43:37.0,2,4.00E-07,3,32,1,187,FALSE,0.934232587
267,44:27.9,20,1.00E-06,0,34,18,254,FALSE,
268,44:43.3,4,8.00E-07,2,6,4,141,TRUE,1.336173067
269,44:45.6,0.2,2.00E-07,4,30,11,12,FALSE,0.077947278
270,44:47.9,0.1,1.00E-07,6,35,-2,13,TRUE,0.024301324
271,44:50.0,0.1,1.00E-07,7,40,22,52,TRUE,0.033999734
272,44:58.8,1,2.00E-07,4,40,13,152,TRUE,0.436423687
273,45:00.0,0.04,4.00E-07,7,2,16,19,FALSE,0.016078961
274,45:02.4,0.4,4.00E-07,6,14,8,123,TRUE,0.118978119
275,45:13.2,2,4.00E-07,3,29,2,204,TRUE,1.016193803
276,45:14.4,0.02,2.00E-07,8,48,1,81,FALSE,0.006131461
277,46:01.0,10,5.00E-07,0,44,14,73,FALSE,3.053623153
278,46:16.0,4,8.00E-07,2,3,9,204,TRUE,1.868565174
279,46:46.9,0.04,4.00E-07,8,26,-2,246,TRUE,
280,46:58.2,2,4.00E-07,1,20,4,36,TRUE,1.034394207
281,47:06.9,1,2.00E-07,4,42,8,123,TRUE,0.364704473
282,47:22.4,4,8.00E-07,2,15,21,168,TRUE,1.581805916
283,48:08.1,10,5.00E-07,0,14,18,112,TRUE,4.364375218
284,48:17.0,1,2.00E-07,4,51,8,87,FALSE,0.262385652
285,48:19.3,0.2,2.00E-07,7,47,4,130,TRUE,0.073699074
286,48:20.4,0.04,4.00E-07,7,26,3,11,TRUE,0.013480135
287,48:21.6,0.02,2.00E-07,9,4,22,174,FALSE,0.007627876
288,48:36.7,4,8.00E-07,1,31,11,96,FALSE,2.09932602
289,48:39.0,0.1,1.00E-07,5,38,4,20,FALSE,0.049376149
