sample,time,window,precision,modulation,band,power,payload,tx2rf
224,2018-05-31 09:12:27.165214,0.0004,4.0000400004000045e-09,6,29,20,46,0.00012608526085260854
225,2018-05-31 09:12:28.092650,0.0004,4.0000400004000045e-09,3,6,14,6,0.00012591325913259135
226,2018-05-31 09:12:29.021928,0.0004,4.0000400004000045e-09,9,19,12,44,0.00012794527945279453
227,2018-05-31 09:12:29.924761,0.0004,4.0000400004000045e-09,3,8,11,59,0.00012732127321273215
228,2018-05-31 09:12:30.816061,0.0004,4.0000400004000045e-09,7,23,0,20,0.00012580925809258095
229,2018-05-31 09:12:31.730367,0.0004,4.0000400004000045e-09,8,2,18,41,0.00012596525965259653
230,2018-05-31 09:12:32.679382,0.0004,4.0000400004000045e-09,3,28,-1,46,0.00012643726437264375
231,2018-05-31 09:12:33.569800,0.0004,4.0000400004000045e-09,6,32,13,11,0.00012719327193271934
232,2018-05-31 09:12:34.485445,0.0004,4.0000400004000045e-09,0,5,13,10,0.00012645726457264573
233,2018-05-31 09:12:35.381689,0.0004,4.0000400004000045e-09,2,17,17,28,0.00012570125701257014
234,2018-05-31 09:12:36.328395,0.0004,4.0000400004000045e-09,4,9,7,62,0.00012681726817268175
235,2018-05-31 09:12:37.273460,0.0004,4.0000400004000045e-09,2,25,3,58,0.00012583325833258335
236,2018-05-31 09:12:38.173220,0.0004,4.0000400004000045e-09,5,3,15,18,0.00012570525705257054
237,2018-05-31 09:12:39.145782,0.0004,4.0000400004000045e-09,9,17,-2,26,0.00012646926469264694
238,2018-05-31 09:12:40.029095,0.0004,4.0000400004000045e-09,3,44,-1,14,0.00012612126121261215
239,2018-05-31 09:12:41.009893,0.0004,4.0000400004000045e-09,4,10,6,57,0.00012639726397263974
240,2018-05-31 09:12:41.950249,0.0004,4.0000400004000045e-09,2,21,21,42,0.00012584525845258453
241,2018-05-31 09:12:42.842949,0.0004,4.0000400004000045e-09,4,24,20,14,0.00012584925849258493
242,2018-05-31 09:12:43.750902,0.0004,4.0000400004000045e-09,3,45,22,45,0.00012579325793257934
243,2018-05-31 09:12:44.708670,0.0004,4.0000400004000045e-09,5,50,6,64,0.00012580525805258054
244,2018-05-31 09:12:45.664698,0.0004,4.0000400004000045e-09,7,50,4,60,0.00012570125701257014
245,2018-05-31 09:12:46.588611,0.0004,4.0000400004000045e-09,2,38,19,3,0.00012570125701257014
246,2018-05-31 09:12:47.525151,0.0004,4.0000400004000045e-09,6,25,5,26,0.00012570125701257014
247,2018-05-31 09:12:48.420409,0.0004,4.0000400004000045e-09,6,5,3,20,0.00012628526285262854
248,2018-05-31 09:12:49.457613,0.0004,4.0000400004000045e-09,2,20,12,22,0.00012618526185261854
249,2018-05-31 09:12:50.423947,0.0004,4.0000400004000045e-09,3,34,16,36,0.00012593325933259335
250,2018-05-31 09:12:51.350013,0.0004,4.0000400004000045e-09,1,32,18,10,0.00012600926009260095
251,2018-05-31 09:12:52.307352,0.0004,4.0000400004000045e-09,8,28,11,25,0.00012677326773267734
252,2018-05-31 09:12:53.222787,0.0004,4.0000400004000045e-09,6,40,10,7,0.00012668126681266814
253,2018-05-31 09:12:54.143055,0.0004,4.0000400004000045e-09,1,40,10,14,0.00012664526645266453
254,2018-05-31 09:12:55.036846,0.0004,4.0000400004000045e-09,1,48,14,39,0.00012636126361263613
255,2018-05-31 09:12:56.023290,0.0004,4.0000400004000045e-09,2,43,6,45,0.00012575725757257573
256,2018-05-31 09:12:56.998356,0.0004,4.0000400004000045e-09,0,24,6,6,0.00012581325813258135
257,2018-05-31 09:12:57.931605,0.0004,4.0000400004000045e-09,2,49,0,3,0.00012617326173261734
258,2018-05-31 09:12:58.850769,0.0004,4.0000400004000045e-09,3,34,6,53,0.00012584525845258453
259,2018-05-31 09:12:59.835156,0.0004,4.0000400004000045e-09,8,7,0,59,0.00012747327473274734
260,2018-05-31 09:13:00.723362,0.0004,4.0000400004000045e-09,4,39,2,17,0.00012742527425274255
