sample,time,window,precision,modulation,band,power,payload,tx2rxdone
190,2018-06-01 19:06:08.969658,0.02,2.0002000200020003e-06,9,0,11,114,0.005348534853485349
191,2018-06-01 19:06:13.320916,2.0,2.000002000002e-06,3,42,0,86,0.504074504074504
192,2018-06-01 19:06:16.324427,1.0,1.000001000001e-06,5,37,3,124,0.20809420809420806
193,2018-06-01 19:06:17.248434,0.04,4.0004000400040005e-06,7,10,-3,6,0.012201220122012201
194,2018-06-01 19:06:37.992925,10.0,2.00000040000008e-06,0,40,9,107,4.364270872854175
195,2018-06-01 19:06:45.123963,4.0,4.000004000004e-06,2,14,6,112,1.1313131313131313
196,2018-06-01 19:06:47.975065,1.0,1.000001000001e-06,3,5,14,79,0.46320046320046315
197,2018-06-01 19:06:48.905985,0.01,1.0001000100010001e-06,9,11,10,39,0.002348234823482348
198,2018-06-01 19:06:50.258198,0.4,4.000040000400005e-06,6,5,4,119,0.11892118921189214
199,2018-06-01 19:06:51.377846,0.2,2.0000200002000023e-06,7,27,18,99,0.05958059580595807
200,2018-06-01 19:07:12.116502,10.0,2.00000040000008e-06,0,42,13,112,4.528108905621782
201,2018-06-01 19:07:13.080940,0.02,2.0002000200020003e-06,9,29,0,100,0.004788478847884789
202,2018-06-01 19:07:14.208356,0.2,2.0000200002000023e-06,7,26,6,114,0.06725867258672588
203,2018-06-01 19:07:17.045767,1.0,1.000001000001e-06,4,11,4,67,0.2315252315252315
204,2018-06-01 19:07:51.446237,20.0,4.00000080000016e-06,0,33,15,123,4.855828971165795
205,2018-06-01 19:07:52.377953,0.01,1.0001000100010001e-06,8,38,0,34,0.0033163316331633165
206,2018-06-01 19:07:53.298423,0.02,2.0002000200020003e-06,9,5,18,112,0.00527052705270527
207,2018-06-01 19:08:13.434679,10.0,2.00000040000008e-06,0,16,7,71,3.217350643470129
208,2018-06-01 19:08:14.541668,0.1,1.0000100001000012e-06,7,48,6,66,0.04292042920429205
209,2018-06-01 19:08:15.468392,0.02,2.0002000200020003e-06,9,5,-3,128,0.005906590659065907
210,2018-06-01 19:08:16.386499,0.01,1.0001000100010001e-06,9,35,12,86,0.004228422842284228
211,2018-06-01 19:08:36.561341,10.0,2.00000040000008e-06,0,48,16,89,3.7089967417993486
212,2018-06-01 19:08:39.458196,1.0,1.000001000001e-06,2,21,19,31,0.47591847591847586
213,2018-06-01 19:08:40.602013,0.1,1.0000100001000012e-06,5,51,0,15,0.04935449354493546
214,2018-06-01 19:08:41.685748,0.2,2.0000200002000023e-06,4,15,6,7,0.07792877928779289
215,2018-06-01 19:08:48.762773,4.0,4.000004000004e-06,1,29,16,69,1.6897296897296896
216,2018-06-01 19:08:49.665578,0.002,2.002002002002002e-06,9,10,18,4,
217,2018-06-01 19:08:56.685647,4.0,4.000004000004e-06,2,12,16,97,1.0084330084330084
218,2018-06-01 19:08:57.633169,0.01,1.0001000100010001e-06,9,31,20,81,0.00403040304030403
219,2018-06-01 19:08:58.703866,0.2,2.0000200002000023e-06,6,12,21,70,0.07547875478754788
220,2018-06-01 19:09:02.952281,2.0,2.000002000002e-06,2,35,2,49,0.5989165989165989
221,2018-06-01 19:09:04.081293,0.2,2.0000200002000023e-06,5,32,2,31,0.07489674896748968
222,2018-06-01 19:09:05.182132,0.2,2.0000200002000023e-06,7,8,9,76,0.04804248042480425
223,2018-06-01 19:09:06.258008,0.2,2.0000200002000023e-06,7,29,8,95,0.05705857058570587
224,2018-06-01 19:09:27.109583,10.0,2.00000040000008e-06,1,50,-1,100,2.263146452629291
225,2018-06-01 19:09:28.064189,0.01,1.0001000100010001e-06,9,43,16,87,0.00426942694269427
226,2018-06-01 19:09:32.416437,2.0,2.000002000002e-06,3,12,18,115,0.627040627040627
227,2018-06-01 19:09:33.661868,0.4,4.000040000400005e-06,5,26,2,53,0.10565705657056572
228,2018-06-01 19:09:37.935122,2.0,2.000002000002e-06,3,26,7,114,0.627000627000627
229,2018-06-01 19:09:38.864938,0.01,1.0001000100010001e-06,9,29,14,38,0.0023092309230923094
230,2018-06-01 19:09:41.713647,1.0,1.000001000001e-06,4,1,8,64,0.2213282213282213
231,2018-06-01 19:09:42.982920,0.4,4.000040000400005e-06,5,26,8,49,0.10051300513005132
232,2018-06-01 19:09:43.934816,0.02,2.0002000200020003e-06,8,29,14,99,0.007476747674767477
233,2018-06-01 19:09:44.925827,0.1,1.0000100001000012e-06,5,26,12,13,0.049276492764927654
234,2018-06-01 19:09:45.841550,0.004,4.004004004004004e-06,8,33,12,8,0.0016536536536536535
235,2018-06-01 19:10:06.301088,10.0,2.00000040000008e-06,1,22,14,92,2.099344419868884
236,2018-06-01 19:10:07.546057,0.2,2.0000200002000023e-06,7,5,3,92,0.055758557585575866
237,2018-06-01 19:10:11.949955,2.0,2.000002000002e-06,3,39,13,118,0.6474566474566474
238,2018-06-01 19:10:13.233778,0.2,2.0000200002000023e-06,6,10,-3,60,0.06776067760677608
239,2018-06-01 19:10:33.575073,10.0,2.00000040000008e-06,1,30,16,100,2.2631404526280905
240,2018-06-01 19:10:34.902353,0.2,2.0000200002000023e-06,6,44,14,68,0.07540075400754008
241,2018-06-01 19:10:37.883937,1.0,1.000001000001e-06,1,40,22,9,
242,2018-06-01 19:10:39.144958,0.4,4.000040000400005e-06,4,39,18,27,0.12912929129291295
243,2018-06-01 19:10:41.886955,1.0,1.000001000001e-06,1,21,14,8,
244,2018-06-01 19:10:42.818275,0.01,1.0001000100010001e-06,8,40,0,44,0.003956395639563956
245,2018-06-01 19:10:44.013302,0.4,4.000040000400005e-06,4,34,19,23,0.11888518885188853
246,2018-06-01 19:10:48.291529,2.0,2.000002000002e-06,3,7,6,117,0.6474166474166474
247,2018-06-01 19:10:51.319478,1.0,1.000001000001e-06,3,35,8,64,0.40169940169940166
248,2018-06-01 19:10:54.139364,1.0,1.000001000001e-06,3,25,19,46,0.31977731977731977
249,2018-06-01 19:11:14.584247,10.0,2.00000040000008e-06,1,46,0,110,2.427020485404097
250,2018-06-01 19:11:17.567294,1.0,1.000001000001e-06,2,38,15,20,0.3939563939563939
251,2018-06-01 19:11:18.509991,0.01,1.0001000100010001e-06,9,7,2,63,0.0033083308330833085
252,2018-06-01 19:11:19.375932,0.004,4.004004004004004e-06,9,22,3,24,0.0017497497497497496
253,2018-06-01 19:11:23.678636,2.0,2.000002000002e-06,3,22,10,90,0.5245385245385245
254,2018-06-01 19:11:30.898576,4.0,4.000004000004e-06,1,26,-1,46,1.28011328011328
255,2018-06-01 19:11:38.079880,4.0,4.000004000004e-06,2,32,6,105,1.0902730902730902
256,2018-06-01 19:11:39.292056,0.4,4.000040000400005e-06,5,5,5,101,0.1772937729377294
257,2018-06-01 19:11:40.204199,0.01,1.0001000100010001e-06,8,49,18,26,0.0028042804280428045
258,2018-06-01 19:12:01.169219,10.0,2.00000040000008e-06,1,25,-3,86,2.017366403473281
259,2018-06-01 19:12:05.401598,2.0,2.000002000002e-06,1,4,-1,34,
260,2018-06-01 19:12:06.328076,0.01,1.0001000100010001e-06,8,6,1,35,0.0033813381338133816
261,2018-06-01 19:12:07.558554,0.2,2.0000200002000023e-06,6,20,5,74,0.08052080520805209
262,2018-06-01 19:12:14.799921,4.0,4.000004000004e-06,2,16,21,115,1.172193172193172
263,2018-06-01 19:12:17.779942,1.0,1.000001000001e-06,3,22,2,65,0.4017384017384017
264,2018-06-01 19:12:18.735752,0.02,2.0002000200020003e-06,8,1,11,93,0.007092709270927093
