sample,time,window,precision,modulation,band,tx,measured
211,2018-06-07 10:29:42.468386,0.001,1.000010000100001e-08,6,2,True,0.0003705337053370534
212,2018-06-07 10:29:43.395212,0.001,1.000010000100001e-08,3,13,False,0.0002758327583275833
213,2018-06-07 10:29:44.450812,0.001,1.000010000100001e-08,1,49,True,0.0003468534685346854
214,2018-06-07 10:29:45.417956,0.001,1.000010000100001e-08,5,3,True,0.0003660136601366014
215,2018-06-07 10:29:46.426507,0.001,1.000010000100001e-08,0,35,False,0.0002735327353273533
216,2018-06-07 10:29:47.401231,0.001,1.000010000100001e-08,8,19,True,0.0004683946839468395
217,2018-06-07 10:29:48.324738,0.001,1.000010000100001e-08,1,47,True,0.0003172631726317263
218,2018-06-07 10:29:49.244446,0.001,1.000010000100001e-08,9,31,False,0.00047803478034780353
219,2018-06-07 10:29:50.174523,0.001,1.000010000100001e-08,3,1,True,0.00034223342233422337
220,2018-06-07 10:29:51.097078,0.001,1.000010000100001e-08,6,10,True,0.00034058340583405835
221,2018-06-07 10:29:52.057010,0.001,1.000010000100001e-08,2,27,True,0.0003411134111341114
222,2018-06-07 10:29:53.025209,0.001,1.000010000100001e-08,5,15,False,0.0002723127231272313
223,2018-06-07 10:29:53.990557,0.001,1.000010000100001e-08,4,20,True,0.00034421344213442137
224,2018-06-07 10:29:54.950535,0.001,1.000010000100001e-08,5,33,False,0.0002722927229272293
225,2018-06-07 10:29:55.915843,0.001,1.000010000100001e-08,8,21,True,0.0004710347103471035
226,2018-06-07 10:29:56.874277,0.001,1.000010000100001e-08,1,15,False,0.00025035250352503527
227,2018-06-07 10:29:57.842993,0.001,1.000010000100001e-08,3,25,False,0.0002734227342273423
228,2018-06-07 10:29:58.874340,0.001,1.000010000100001e-08,6,10,True,0.0003401134011340114
229,2018-06-07 10:29:59.851090,0.001,1.000010000100001e-08,5,17,True,0.00034054340543405434
230,2018-06-07 10:30:00.955380,0.001,1.000010000100001e-08,0,44,True,0.0002735127351273513
231,2018-06-07 10:30:01.873319,0.001,1.000010000100001e-08,1,7,True,0.0003644536445364454
232,2018-06-07 10:30:02.793271,0.001,1.000010000100001e-08,1,16,True,0.00034034340343403434
233,2018-06-07 10:30:03.718635,0.001,1.000010000100001e-08,5,43,False,0.0002725427254272543
234,2018-06-07 10:30:04.644358,0.001,1.000010000100001e-08,4,47,False,0.0002744427444274443
235,2018-06-07 10:30:05.639442,0.001,1.000010000100001e-08,8,23,False,0.0004692446924469245
236,2018-06-07 10:30:06.598188,0.001,1.000010000100001e-08,9,12,False,0.00044683446834468347
237,2018-06-07 10:30:07.583612,0.001,1.000010000100001e-08,8,42,False,0.0004475144751447515
238,2018-06-07 10:30:08.538776,0.001,1.000010000100001e-08,5,14,False,0.00024974249742497427
239,2018-06-07 10:30:09.461231,0.001,1.000010000100001e-08,6,49,True,0.00034577345773457736
240,2018-06-07 10:30:10.380640,0.001,1.000010000100001e-08,6,15,True,0.00033984339843398437
241,2018-06-07 10:30:11.301890,0.001,1.000010000100001e-08,1,30,True,0.0003411234112341124
242,2018-06-07 10:30:12.234099,0.001,1.000010000100001e-08,4,2,True,0.00029885298852988534
243,2018-06-07 10:30:13.164209,0.001,1.000010000100001e-08,3,18,True,0.00034039340393403935
244,2018-06-07 10:30:14.086061,0.001,1.000010000100001e-08,9,44,True,0.0005347353473534736
245,2018-06-07 10:30:15.011595,0.001,1.000010000100001e-08,7,42,True,0.00031656316563165635
246,2018-06-07 10:30:15.937409,0.001,1.000010000100001e-08,7,9,False,0.0002723527235272353
247,2018-06-07 10:30:16.905245,0.001,1.000010000100001e-08,4,4,False,0.00029603296032960333
248,2018-06-07 10:30:17.868879,0.001,1.000010000100001e-08,4,4,False,0.00029665296652966534
249,2018-06-07 10:30:18.819592,0.001,1.000010000100001e-08,3,29,False,0.0002731227312273123
250,2018-06-07 10:30:19.767706,0.001,1.000010000100001e-08,1,15,True,0.0003402834028340284
251,2018-06-07 10:30:20.680202,0.001,1.000010000100001e-08,7,5,False,0.0002959529595295953
252,2018-06-07 10:30:21.670920,0.001,1.000010000100001e-08,8,33,False,0.0004747647476474765
253,2018-06-07 10:30:22.625723,0.001,1.000010000100001e-08,2,45,False,0.00024956249562495627
254,2018-06-07 10:30:23.581249,0.001,1.000010000100001e-08,8,23,False,0.0004753447534475345
255,2018-06-07 10:30:24.502523,0.001,1.000010000100001e-08,6,43,False,0.00024897248972489727
256,2018-06-07 10:30:25.425084,0.001,1.000010000100001e-08,6,50,True,0.00034877348773487736
257,2018-06-07 10:30:26.383789,0.001,1.000010000100001e-08,0,42,False,0.0002754527545275453
258,2018-06-07 10:30:27.313219,0.001,1.000010000100001e-08,4,22,True,0.00034037340373403735
259,2018-06-07 10:30:28.244246,0.001,1.000010000100001e-08,0,40,False,0.0002732027320273203
260,2018-06-07 10:30:29.215263,0.001,1.000010000100001e-08,8,17,False,0.0004684846848468485
261,2018-06-07 10:30:30.145836,0.001,1.000010000100001e-08,6,20,True,0.0002514225142251423
262,2018-06-07 10:30:31.078085,0.001,1.000010000100001e-08,6,49,True,0.0003487034870348704
263,2018-06-07 10:30:32.051390,0.001,1.000010000100001e-08,9,36,True,0.0005377353773537736
264,2018-06-07 10:30:32.981871,0.001,1.000010000100001e-08,9,51,False,0.0004453744537445375
265,2018-06-07 10:30:33.944312,0.001,1.000010000100001e-08,2,17,False,0.00024933249332493326
266,2018-06-07 10:30:34.910010,0.001,1.000010000100001e-08,4,28,True,0.0003406834068340684
267,2018-06-07 10:30:35.863437,0.001,1.000010000100001e-08,9,23,True,0.0004761047610476105
268,2018-06-07 10:30:36.784512,0.001,1.000010000100001e-08,1,37,True,0.00032336323363233636
269,2018-06-07 10:30:37.714490,0.001,1.000010000100001e-08,5,43,False,0.00027200272002720027
270,2018-06-07 10:30:38.642579,0.001,1.000010000100001e-08,7,42,False,0.0002724227242272423
271,2018-06-07 10:30:39.564500,0.001,1.000010000100001e-08,7,48,True,0.0003398933989339894
272,2018-06-07 10:30:40.563422,0.001,1.000010000100001e-08,2,36,False,0.00027257272572725727
273,2018-06-07 10:30:41.528285,0.001,1.000010000100001e-08,8,6,True,0.0005656656566565666
274,2018-06-07 10:30:42.434620,0.001,1.000010000100001e-08,1,18,False,0.0002504225042250423
275,2018-06-07 10:30:43.386081,0.001,1.000010000100001e-08,4,42,True,0.00034561345613456137
276,2018-06-07 10:30:44.295968,0.001,1.000010000100001e-08,2,47,False,0.0002732827328273283
277,2018-06-07 10:30:45.212640,0.001,1.000010000100001e-08,0,20,True,0.0002734827348273483
278,2018-06-07 10:30:46.134569,0.001,1.000010000100001e-08,6,21,True,0.00034679346793467937
279,2018-06-07 10:30:47.045586,0.001,1.000010000100001e-08,0,8,True,0.00034120341203412036
280,2018-06-07 10:30:48.010383,0.001,1.000010000100001e-08,8,17,True,0.0005426154261542616
281,2018-06-07 10:30:48.974830,0.001,1.000010000100001e-08,8,31,True,0.0005112651126511265
282,2018-06-07 10:30:49.902266,0.001,1.000010000100001e-08,3,36,False,0.0002496024960249603
