sample,time,window,precision,modulation,band,measured
188,2018-06-14 08:58:40.611211,0.0002,2.0000200002000022e-09,5,39,6.998069980699808e-05
189,2018-06-14 08:58:41.459689,0.0002,2.0000200002000022e-09,6,45,6.733467334673348e-05
190,2018-06-14 08:58:42.298497,0.0002,2.0000200002000022e-09,6,10,6.987669876698768e-05
191,2018-06-14 08:58:44.211887,0.0002,2.0000200002000022e-09,9,44,6.721067210672107e-05
192,2018-06-14 08:58:45.058266,0.0002,2.0000200002000022e-09,9,49,6.987669876698768e-05
193,2018-06-14 08:58:45.948814,0.0002,2.0000200002000022e-09,5,12,6.725267252672528e-05
194,2018-06-14 08:58:46.787143,0.0002,2.0000200002000022e-09,4,24,6.731467314673147e-05
195,2018-06-14 08:58:47.623218,0.0002,2.0000200002000022e-09,3,37,6.727467274672747e-05
196,2018-06-14 08:58:48.543674,0.0002,2.0000200002000022e-09,2,43,6.725267252672528e-05
197,2018-06-14 08:58:49.375613,0.0002,2.0000200002000022e-09,2,12,6.731467314673147e-05
198,2018-06-14 08:58:50.199052,0.0002,2.0000200002000022e-09,1,34,7.812678126781268e-05
199,2018-06-14 08:58:51.027819,0.0002,2.0000200002000022e-09,7,23,6.721067210672107e-05
200,2018-06-14 08:58:51.865455,0.0002,2.0000200002000022e-09,6,18,7.812878128781288e-05
201,2018-06-14 08:58:52.750593,0.0002,2.0000200002000022e-09,6,25,6.721067210672107e-05
202,2018-06-14 08:58:53.623682,0.0002,2.0000200002000022e-09,6,29,6.731467314673147e-05
203,2018-06-14 08:58:54.469685,0.0002,2.0000200002000022e-09,1,44,6.733667336673368e-05
204,2018-06-14 08:58:55.318703,0.0002,2.0000200002000022e-09,0,43,6.720867208672087e-05
205,2018-06-14 08:58:56.213927,0.0002,2.0000200002000022e-09,7,8,6.727267272672727e-05
206,2018-06-14 08:58:57.098486,0.0002,2.0000200002000022e-09,5,51,6.725267252672528e-05
207,2018-06-14 08:58:57.965811,0.0002,2.0000200002000022e-09,6,35,7.812678126781268e-05
208,2018-06-14 08:58:58.843243,0.0002,2.0000200002000022e-09,4,15,6.733667336673368e-05
209,2018-06-14 08:58:59.762680,0.0002,2.0000200002000022e-09,9,24,6.733467334673348e-05
210,2018-06-14 08:59:00.597732,0.0002,2.0000200002000022e-09,7,36,6.721067210672107e-05
211,2018-06-14 08:59:01.451129,0.0002,2.0000200002000022e-09,5,18,6.998069980699808e-05
212,2018-06-14 08:59:02.284983,0.0002,2.0000200002000022e-09,0,18,6.721067210672107e-05
213,2018-06-14 08:59:03.122801,0.0002,2.0000200002000022e-09,7,38,7.812878128781288e-05
214,2018-06-14 08:59:03.971873,0.0002,2.0000200002000022e-09,8,19,6.733467334673348e-05
215,2018-06-14 08:59:04.810802,0.0002,2.0000200002000022e-09,7,19,6.721067210672107e-05
216,2018-06-14 08:59:05.666489,0.0002,2.0000200002000022e-09,7,28,6.721067210672107e-05
217,2018-06-14 08:59:06.513727,0.0002,2.0000200002000022e-09,5,17,7.358673586735868e-05
218,2018-06-14 08:59:07.364403,0.0002,2.0000200002000022e-09,7,25,6.731467314673147e-05
219,2018-06-14 08:59:08.238883,0.0002,2.0000200002000022e-09,8,27,6.721067210672107e-05
220,2018-06-14 08:59:09.165047,0.0002,2.0000200002000022e-09,6,43,6.727267272672727e-05
221,2018-06-14 08:59:10.044976,0.0002,2.0000200002000022e-09,0,26,6.731267312673127e-05
222,2018-06-14 08:59:10.939485,0.0002,2.0000200002000022e-09,5,25,7.817078170781708e-05
223,2018-06-14 08:59:11.787729,0.0002,2.0000200002000022e-09,8,50,6.756467564675647e-05
224,2018-06-14 08:59:12.637193,0.0002,2.0000200002000022e-09,0,51,6.785667856678567e-05
225,2018-06-14 08:59:13.492338,0.0002,2.0000200002000022e-09,3,8,6.727267272672727e-05
226,2018-06-14 08:59:14.415588,0.0002,2.0000200002000022e-09,7,43,6.733467334673348e-05
227,2018-06-14 08:59:15.295912,0.0002,2.0000200002000022e-09,3,11,6.720867208672087e-05
228,2018-06-14 08:59:16.167693,0.0002,2.0000200002000022e-09,9,44,6.721067210672107e-05
229,2018-06-14 08:59:17.011121,0.0002,2.0000200002000022e-09,2,8,6.725467254672548e-05
230,2018-06-14 08:59:17.904264,0.0002,2.0000200002000022e-09,5,3,7.81687816878169e-05
231,2018-06-14 08:59:18.756648,0.0002,2.0000200002000022e-09,6,2,6.733467334673348e-05
232,2018-06-14 08:59:19.608838,0.0002,2.0000200002000022e-09,3,13,6.721067210672107e-05
233,2018-06-14 08:59:20.531254,0.0002,2.0000200002000022e-09,7,11,6.731267312673127e-05
234,2018-06-14 08:59:21.389640,0.0002,2.0000200002000022e-09,9,42,6.733667336673368e-05
235,2018-06-14 08:59:22.260122,0.0002,2.0000200002000022e-09,4,8,6.727267272672727e-05
236,2018-06-14 08:59:23.099403,0.0002,2.0000200002000022e-09,9,21,6.756467564675647e-05
237,2018-06-14 08:59:23.954526,0.0002,2.0000200002000022e-09,8,1,6.721067210672107e-05
238,2018-06-14 08:59:24.798691,0.0002,2.0000200002000022e-09,7,47,6.721067210672107e-05
239,2018-06-14 08:59:25.646402,0.0002,2.0000200002000022e-09,3,7,6.733667336673368e-05
240,2018-06-14 08:59:26.496483,0.0002,2.0000200002000022e-09,6,41,7.812678126781268e-05
241,2018-06-14 08:59:27.350559,0.0002,2.0000200002000022e-09,6,2,6.994069940699408e-05
242,2018-06-14 08:59:28.273575,0.0002,2.0000200002000022e-09,1,32,6.987669876698768e-05
243,2018-06-14 08:59:29.111703,0.0002,2.0000200002000022e-09,4,17,6.721067210672107e-05
244,2018-06-14 08:59:29.985583,0.0002,2.0000200002000022e-09,9,48,6.721067210672107e-05
245,2018-06-14 08:59:30.828040,0.0002,2.0000200002000022e-09,1,41,6.987869878698788e-05
246,2018-06-14 08:59:31.687001,0.0002,2.0000200002000022e-09,7,15,6.756467564675647e-05
247,2018-06-14 08:59:32.528346,0.0002,2.0000200002000022e-09,8,5,6.731467314673147e-05
248,2018-06-14 08:59:33.375014,0.0002,2.0000200002000022e-09,2,1,6.725267252672528e-05
249,2018-06-14 08:59:34.217750,0.0002,2.0000200002000022e-09,5,6,6.791867918679187e-05
250,2018-06-14 08:59:35.065330,0.0002,2.0000200002000022e-09,0,26,7.812678126781268e-05
251,2018-06-14 08:59:35.903427,0.0002,2.0000200002000022e-09,3,44,6.720867208672087e-05
252,2018-06-14 08:59:36.736749,0.0002,2.0000200002000022e-09,1,47,6.731467314673147e-05
253,2018-06-14 08:59:37.580477,0.0002,2.0000200002000022e-09,4,21,6.721067210672107e-05
254,2018-06-14 08:59:38.418718,0.0002,2.0000200002000022e-09,8,29,7.810678106781069e-05
255,2018-06-14 08:59:39.297207,0.0002,2.0000200002000022e-09,6,44,6.721067210672107e-05
256,2018-06-14 08:59:40.134662,0.0002,2.0000200002000022e-09,8,46,6.733467334673348e-05
257,2018-06-14 08:59:40.971277,0.0002,2.0000200002000022e-09,3,13,6.987669876698768e-05
258,2018-06-14 08:59:41.852340,0.0002,2.0000200002000022e-09,8,17,6.720867208672087e-05
259,2018-06-14 08:59:42.692058,0.0002,2.0000200002000022e-09,7,17,6.733467334673348e-05
