sample,time,window,precision,modulation,band,react,finish
128,2018-06-07 13:14:35.118196,0.0001,1.001001001001001e-07,9,41,6.806806806806807e-06,5.915915915915916e-05
129,2018-06-07 13:14:35.965108,0.0001,1.001001001001001e-07,8,21,6.806806806806807e-06,5.915915915915916e-05
130,2018-06-07 13:14:36.830230,0.0001,1.001001001001001e-07,4,28,6.9069069069069065e-06,5.915915915915916e-05
131,2018-06-07 13:14:37.673420,0.0001,1.001001001001001e-07,9,8,6.9069069069069065e-06,5.915915915915916e-05
132,2018-06-07 13:14:38.530345,0.0001,1.001001001001001e-07,4,48,6.9069069069069065e-06,5.915915915915916e-05
133,2018-06-07 13:14:39.582946,0.0001,1.001001001001001e-07,2,31,6.806806806806807e-06,5.905905905905906e-05
134,2018-06-07 13:14:40.435123,0.0001,1.001001001001001e-07,7,12,6.9069069069069065e-06,5.915915915915916e-05
135,2018-06-07 13:14:41.275540,0.0001,1.001001001001001e-07,7,38,6.9069069069069065e-06,5.915915915915916e-05
136,2018-06-07 13:14:42.217173,0.0001,1.001001001001001e-07,3,37,6.9069069069069065e-06,5.915915915915916e-05
137,2018-06-07 13:14:43.161500,0.0001,1.001001001001001e-07,3,39,6.806806806806807e-06,5.915915915915916e-05
138,2018-06-07 13:14:44.014224,0.0001,1.001001001001001e-07,4,17,6.806806806806807e-06,5.915915915915916e-05
139,2018-06-07 13:14:44.859861,0.0001,1.001001001001001e-07,6,23,6.806806806806807e-06,5.905905905905906e-05
140,2018-06-07 13:14:45.716343,0.0001,1.001001001001001e-07,4,33,6.9069069069069065e-06,5.915915915915916e-05
141,2018-06-07 13:14:46.559590,0.0001,1.001001001001001e-07,9,47,6.806806806806807e-06,5.905905905905906e-05
142,2018-06-07 13:14:47.818266,0.0001,1.001001001001001e-07,1,18,6.806806806806807e-06,5.905905905905906e-05
143,2018-06-07 13:14:48.988523,0.0001,1.001001001001001e-07,1,14,6.9069069069069065e-06,5.915915915915916e-05
144,2018-06-07 13:14:49.833329,0.0001,1.001001001001001e-07,5,45,6.9069069069069065e-06,5.915915915915916e-05
145,2018-06-07 13:14:50.895972,0.0001,1.001001001001001e-07,2,29,6.806806806806807e-06,5.915915915915916e-05
146,2018-06-07 13:14:51.959025,0.0001,1.001001001001001e-07,2,8,6.806806806806807e-06,5.915915915915916e-05
147,2018-06-07 13:14:52.797783,0.0001,1.001001001001001e-07,8,1,6.9069069069069065e-06,5.915915915915916e-05
148,2018-06-07 13:14:53.645223,0.0001,1.001001001001001e-07,8,22,6.806806806806807e-06,5.915915915915916e-05
149,2018-06-07 13:14:54.716191,0.0001,1.001001001001001e-07,2,1,6.9069069069069065e-06,5.915915915915916e-05
150,2018-06-07 13:14:55.567726,0.0001,1.001001001001001e-07,4,22,6.9069069069069065e-06,5.915915915915916e-05
151,2018-06-07 13:14:56.416017,0.0001,1.001001001001001e-07,5,51,6.806806806806807e-06,5.915915915915916e-05
152,2018-06-07 13:14:57.277911,0.0001,1.001001001001001e-07,5,1,6.806806806806807e-06,5.915915915915916e-05
153,2018-06-07 13:14:58.134365,0.0001,1.001001001001001e-07,6,8,6.9069069069069065e-06,5.915915915915916e-05
154,2018-06-07 13:14:58.980016,0.0001,1.001001001001001e-07,7,7,6.9069069069069065e-06,5.915915915915916e-05
155,2018-06-07 13:15:00.047863,0.0001,1.001001001001001e-07,2,24,6.9069069069069065e-06,5.915915915915916e-05
156,2018-06-07 13:15:00.885221,0.0001,1.001001001001001e-07,6,17,6.9069069069069065e-06,5.915915915915916e-05
157,2018-06-07 13:15:01.729589,0.0001,1.001001001001001e-07,8,16,6.9069069069069065e-06,5.915915915915916e-05
