sample,time,window,precision,offset,measured
251,2018-06-07 14:51:57.208702,0.0002,2.0000020000020002e-10,505,6.504446504446505e-05
252,2018-06-07 14:51:59.536596,0.0001,1.0000010000010001e-10,182,1.2372112372112373e-05
253,2018-06-07 14:52:01.764844,0.0002,2.0000020000020002e-10,412,5.350465350465351e-05
254,2018-06-07 14:52:03.884475,0.0002,2.0000020000020002e-10,619,7.93964793964794e-05
255,2018-06-07 14:52:06.005986,0.0002,2.0000020000020002e-10,645,8.254308254308254e-05
256,2018-06-07 14:52:06.951675,3.9999999999999996e-05,4.000040000400004e-10,145,2.015980159801598e-05
257,2018-06-07 14:52:09.153548,0.0002,2.0000020000020002e-10,410,5.323465323465324e-05
258,2018-06-07 14:52:10.214735,3.9999999999999996e-05,4.000040000400004e-10,150,2.067260672606726e-05
259,2018-06-07 14:52:12.522099,0.0001,1.0000010000010001e-10,385,2.503592503592504e-05
260,2018-06-07 14:52:14.967328,0.0001,1.0000010000010001e-10,175,1.1945811945811946e-05
261,2018-06-07 14:52:17.156700,0.0002,2.0000020000020002e-10,777,9.912489912489914e-05
262,2018-06-07 14:52:18.138559,3.9999999999999996e-05,4.000040000400004e-10,149,2.060940609406094e-05
263,2018-06-07 14:52:20.439476,0.0001,1.0000010000010001e-10,354,2.3123323123323124e-05
264,2018-06-07 14:52:22.603193,0.0002,2.0000020000020002e-10,630,8.07894807894808e-05
265,2018-06-07 14:52:24.902794,0.0001,1.0000010000010001e-10,343,2.2454922454922457e-05
266,2018-06-07 14:52:27.086985,0.0001,1.0000010000010001e-10,251,1.668981668981669e-05
267,2018-06-07 14:52:29.498778,0.0002,2.0000020000020002e-10,659,8.437668437668439e-05
268,2018-06-07 14:52:31.844103,0.0001,1.0000010000010001e-10,291,1.920741920741921e-05
269,2018-06-07 14:52:34.037831,0.0002,2.0000020000020002e-10,491,6.334686334686335e-05
270,2018-06-07 14:52:36.406410,0.0001,1.0000010000010001e-10,314,2.063072063072063e-05
271,2018-06-07 14:52:37.513962,3.9999999999999996e-05,4.000040000400004e-10,103,1.4892148921489214e-05
272,2018-06-07 14:52:39.495668,0.0001,1.0000010000010001e-10,296,1.948881948881949e-05
273,2018-06-07 14:52:41.650685,0.0001,1.0000010000010001e-10,214,1.4383314383314384e-05
274,2018-06-07 14:52:43.858429,0.0002,2.0000020000020002e-10,689,8.813608813608815e-05
275,2018-06-07 14:52:45.956851,0.0001,1.0000010000010001e-10,384,2.498842498842499e-05
276,2018-06-07 14:52:48.230339,0.0002,2.0000020000020002e-10,750,9.574069574069574e-05
277,2018-06-07 14:52:50.360483,0.0002,2.0000020000020002e-10,503,6.491346491346492e-05
278,2018-06-07 14:52:52.629678,0.0001,1.0000010000010001e-10,384,2.5011825011825015e-05
279,2018-06-07 14:52:54.585447,0.0002,2.0000020000020002e-10,786,0.00010020870020870021
280,2018-06-07 14:52:56.734825,0.0002,2.0000020000020002e-10,519,6.682686682686684e-05
281,2018-06-07 14:52:58.836734,0.0002,2.0000020000020002e-10,513,6.605226605226606e-05
282,2018-06-07 14:53:01.085213,0.0002,2.0000020000020002e-10,428,5.552145552145552e-05
283,2018-06-07 14:53:03.342980,0.0002,2.0000020000020002e-10,640,8.201608201608202e-05
284,2018-06-07 14:53:05.460914,0.0002,2.0000020000020002e-10,621,7.957787957787958e-05
285,2018-06-07 14:53:07.625059,0.0001,1.0000010000010001e-10,166,1.1378211378211379e-05
286,2018-06-07 14:53:09.824900,0.0001,1.0000010000010001e-10,273,1.806941806941807e-05
287,2018-06-07 14:53:11.908151,0.0001,1.0000010000010001e-10,179,1.217041217041217e-05
288,2018-06-07 14:53:13.052629,3.9999999999999996e-05,4.000040000400004e-10,103,1.4885348853488534e-05
289,2018-06-07 14:53:16.021892,0.0001,1.0000010000010001e-10,161,1.1026511026511027e-05
290,2018-06-07 14:53:18.560234,0.0002,2.0000020000020002e-10,484,6.241906241906242e-05
291,2018-06-07 14:53:20.983506,0.0002,2.0000020000020002e-10,733,9.355929355929356e-05
292,2018-06-07 14:53:23.132351,0.0002,2.0000020000020002e-10,657,8.412468412468413e-05
293,2018-06-07 14:53:25.303521,0.0002,2.0000020000020002e-10,614,7.875547875547876e-05
294,2018-06-07 14:53:27.819782,0.0002,2.0000020000020002e-10,709,9.058289058289059e-05
295,2018-06-07 14:53:30.271192,0.0001,1.0000010000010001e-10,289,1.9052819052819054e-05
