sample,time,window,precision,modulation,band,power,payload,tx2txdone
162,2018-06-05 13:42:31.146945,0.4,4.000004000004e-07,5,21,8,69,0.1253945253945254
163,2018-06-05 13:42:34.615949,0.4,4.000004000004e-07,7,7,12,194,0.10677010677010677
164,2018-06-05 13:42:38.338945,0.4,4.000004000004e-07,5,7,3,115,0.19195499195499197
165,2018-06-05 13:42:39.648945,0.04,4.0000400004000043e-07,6,37,2,9,0.021332213322133222
166,2018-06-05 13:42:53.261944,1.0,2.00000040000008e-07,5,38,12,208,0.3301922660384532
167,2018-06-05 13:42:56.484946,0.2,2.000002000002e-07,4,42,10,13,0.0764992764992765
168,2018-06-05 13:43:00.049948,0.2,2.000002000002e-07,5,22,22,48,0.09467449467449468
169,2018-06-05 13:43:02.965945,0.1,1.000001000001e-07,7,28,22,70,0.042770842770842775
170,2018-06-05 13:43:04.307947,0.02,2.0000200002000021e-07,8,32,15,103,0.0076708767087670885
171,2018-06-05 13:43:05.265944,0.002,2.0002000200020003e-07,9,51,16,4,0.0009146914691469147
172,2018-06-05 13:43:06.551974,0.04,4.0000400004000043e-07,8,2,-3,164,0.011574115741157413
173,2018-06-05 13:43:09.942945,0.4,4.000004000004e-07,6,25,-1,125,0.12117052117052117
174,2018-06-05 13:43:13.494272,0.4,4.000004000004e-07,6,35,20,201,0.18516938516938516
175,2018-06-05 13:44:15.606939,10.0,5.000000250000012e-07,0,19,19,53,2.3676796183839808
176,2018-06-05 13:44:16.876936,0.02,2.0000200002000021e-07,8,17,3,79,0.0061356613566135665
177,2018-06-05 13:44:20.166941,0.4,4.000004000004e-07,5,50,7,68,0.1253941253941254
178,2018-06-05 13:44:32.117937,1.0,2.00000040000008e-07,3,37,3,92,0.5214239042847808
179,2018-06-05 13:44:35.232940,0.2,2.000002000002e-07,5,18,18,52,0.0997942997942998
180,2018-06-05 13:44:53.829940,4.0,8.00000160000032e-07,1,30,16,97,2.0850564170112835
181,2018-06-05 13:45:24.716407,0.04,4.0000400004000043e-07,9,14,16,253,
182,2018-06-05 13:45:43.827666,4.0,8.00000160000032e-07,1,39,20,69,1.5935419187083837
183,2018-06-05 13:45:46.790846,0.1,1.000001000001e-07,5,50,-1,10,0.03835523835523836
184,2018-06-05 13:46:00.617877,2.0,4.00000080000016e-07,1,51,18,41,1.1020250204050042
185,2018-06-05 13:46:03.770842,0.2,2.000002000002e-07,7,28,22,95,0.055570655570655575
186,2018-06-05 13:46:22.786967,4.0,8.00000160000032e-07,2,16,21,150,1.4112714822542964
187,2018-06-05 13:46:24.124995,0.01,1.0000100001000011e-07,9,36,22,103,0.004874348743487435
188,2018-06-05 13:47:25.997004,10.0,5.000000250000012e-07,0,26,19,123,4.661416733070837
189,2018-06-05 13:47:26.976002,0.002,2.0002000200020003e-07,9,38,8,6,0.0009944994499449945
190,2018-06-05 13:47:46.409002,4.0,8.00000160000032e-07,2,7,17,192,1.7389467477893494
191,2018-06-05 13:47:47.728003,0.02,2.0000200002000021e-07,9,23,1,196,0.00859428594285943
192,2018-06-05 13:48:02.167003,2.0,4.00000080000016e-07,2,15,0,54,0.6330373266074654
193,2018-06-05 13:48:03.438004,0.02,2.0000200002000021e-07,9,2,10,162,0.007234472344723448
194,2018-06-05 13:48:06.331003,0.4,4.000004000004e-07,4,49,2,48,0.16865816865816866
195,2018-06-05 13:48:19.447002,1.0,2.00000040000008e-07,3,44,16,80,0.4599830919966184
196,2018-06-05 13:48:20.425002,0.004,4.0004000400040005e-07,9,25,6,15,0.001354935493549355
197,2018-06-05 13:48:39.040003,4.0,8.00000160000032e-07,2,4,15,173,1.6160691232138247
198,2018-06-05 13:48:51.686039,1.0,2.00000040000008e-07,5,33,-2,239,0.376271675254335
199,2018-06-05 13:49:06.228005,2.0,4.00000080000016e-07,2,35,19,104,1.0426334085266817
200,2018-06-05 13:49:09.507003,0.2,2.000002000002e-07,6,17,15,70,0.07253047253047254
201,2018-06-05 13:49:10.642026,0.04,4.0000400004000043e-07,6,34,15,4,0.016210962109621096
202,2018-06-05 13:49:11.961004,0.02,2.0000200002000021e-07,9,33,-3,136,0.0061942619426194265
203,2018-06-05 13:49:30.593002,4.0,8.00000160000032e-07,0,42,12,37,1.876161975232395
204,2018-06-05 13:50:35.347014,10.0,5.000000250000012e-07,0,46,-2,126,4.825254741262737
205,2018-06-05 13:50:36.761008,0.02,2.0000200002000021e-07,9,7,16,198,0.008675086750867509
206,2018-06-05 13:50:39.884003,0.2,2.000002000002e-07,5,23,8,23,0.05883465883465884
207,2018-06-05 13:50:41.098032,0.01,1.0000100001000011e-07,8,19,7,47,0.004087740877408774
208,2018-06-05 13:50:55.376002,2.0,4.00000080000016e-07,3,6,5,125,0.6647817329563466
209,2018-06-05 13:51:10.710003,2.0,4.00000080000016e-07,4,44,10,208,0.5782541156508231
210,2018-06-05 13:52:14.241006,10.0,5.000000250000012e-07,1,29,0,226,4.460715223035761
211,2018-06-05 13:53:17.712046,10.0,5.000000250000012e-07,1,40,6,98,2.1669761083488055
212,2018-06-05 13:53:37.563027,4.0,8.00000160000032e-07,2,12,19,133,1.2883922576784514
213,2018-06-05 13:53:38.745003,0.01,1.0000100001000011e-07,8,11,10,43,0.003830538305383054
214,2018-06-05 13:54:43.488719,10.0,5.000000250000012e-07,2,47,1,238,2.1485431074271553
215,2018-06-05 13:54:46.548718,0.4,4.000004000004e-07,5,46,18,86,0.150994150994151
216,2018-06-05 13:55:48.831749,10.0,5.000000250000012e-07,1,45,11,140,2.9042481452124074
217,2018-06-05 13:55:50.188751,0.02,2.0000200002000021e-07,9,42,9,171,0.0075944759447594485
218,2018-06-05 13:55:53.600113,0.2,2.000002000002e-07,6,39,4,94,0.09301029301029301
219,2018-06-05 13:56:06.096110,1.0,2.00000040000008e-07,5,37,5,237,0.37115287423057486
220,2018-06-05 13:56:09.021136,0.2,2.000002000002e-07,6,31,18,48,0.05461065461065461
221,2018-06-05 13:56:11.815112,0.2,2.000002000002e-07,6,12,19,66,0.06997066997066997
222,2018-06-05 13:56:26.539111,2.0,4.00000080000016e-07,4,31,17,209,0.5782541156508231
223,2018-06-05 13:56:29.758264,0.4,4.000004000004e-07,6,44,20,220,0.20052940052940055
224,2018-06-05 13:56:31.091267,0.02,2.0000200002000021e-07,8,15,18,79,0.006134461344613446
225,2018-06-05 13:56:32.377263,0.04,4.0000400004000043e-07,8,49,-1,234,0.016054560545605456
226,2018-06-05 13:56:35.894016,0.2,2.000002000002e-07,6,12,-1,47,0.05461065461065461
227,2018-06-05 13:58:01.399205,20.0,1.0000000500000025e-06,0,33,2,157,5.808286290414315
228,2018-06-05 13:58:13.685210,1.0,2.00000040000008e-07,2,35,9,39,0.5101597020319404
229,2018-06-05 13:59:39.255508,20.0,1.0000000500000025e-06,0,37,3,187,6.7913163395658165
230,2018-06-05 13:59:42.531932,0.2,2.000002000002e-07,6,46,2,46,0.052050652050652055
231,2018-06-05 14:00:47.064666,10.0,5.000000250000012e-07,1,26,-2,167,3.3957646697882335
232,2018-06-05 14:02:11.996678,20.0,1.0000000500000025e-06,0,12,4,215,7.774348388717419
