sample,time,window,precision,modulation,band,preamble,offset,valid
252,2018-06-14 17:16:47.127945,0.4,4.0004000400040005e-05,3,12,10,668931,True
253,2018-06-14 17:16:48.688699,0.2,2.0002000200020003e-05,4,20,12,45141,False
254,2018-06-14 17:16:52.003658,1.0,1.000010000100001e-05,1,19,3,1806345,True
255,2018-06-14 17:16:53.548170,0.2,2.0002000200020003e-05,4,21,8,197257,True
256,2018-06-14 17:16:54.916325,0.04,4.004004004004004e-05,8,27,5,2201,True
257,2018-06-14 17:16:58.375681,1.0,1.000010000100001e-05,0,33,3,1510308,False
258,2018-06-14 17:16:59.918160,0.2,2.0002000200020003e-05,4,14,8,147426,True
259,2018-06-14 17:17:03.243546,1.0,1.000010000100001e-05,1,19,4,2497624,True
260,2018-06-14 17:17:04.625053,0.04,4.004004004004004e-05,9,27,8,6081,False
261,2018-06-14 17:17:08.012592,1.0,1.000010000100001e-05,1,45,7,502977,False
262,2018-06-14 17:17:13.862611,2.0,2.000020000200002e-05,1,3,12,3013527,True
263,2018-06-14 17:17:15.304684,0.1,1.0001000100010001e-05,5,49,4,147786,True
264,2018-06-14 17:17:16.674735,0.04,4.004004004004004e-05,8,9,10,3764,True
265,2018-06-14 17:17:18.420579,0.4,4.0004000400040005e-05,4,17,12,516733,False
266,2018-06-14 17:17:19.975987,0.2,2.0002000200020003e-05,3,34,4,3575,False
267,2018-06-14 17:17:21.343097,0.04,4.004004004004004e-05,9,51,2,510,False
268,2018-06-14 17:17:27.239501,2.0,2.000020000200002e-05,0,24,5,1894186,False
269,2018-06-14 17:17:30.567865,1.0,1.000010000100001e-05,2,50,11,1766738,False
270,2018-06-14 17:17:32.017337,0.1,1.0001000100010001e-05,5,1,11,126965,True
271,2018-06-14 17:17:33.571925,0.2,2.0002000200020003e-05,4,20,5,251619,True
272,2018-06-14 17:17:34.948020,0.04,4.004004004004004e-05,8,3,12,982,True
273,2018-06-14 17:17:36.502553,0.2,2.0002000200020003e-05,4,46,10,166246,True
274,2018-06-14 17:17:37.940617,0.1,1.0001000100010001e-05,7,15,4,16013,True
275,2018-06-14 17:17:39.377902,0.1,1.0001000100010001e-05,7,48,6,61580,False
276,2018-06-14 17:17:40.929527,0.2,2.0002000200020003e-05,4,50,8,100893,True
277,2018-06-14 17:17:42.667103,0.4,4.0004000400040005e-05,3,31,5,718100,False
278,2018-06-14 17:17:45.987309,1.0,1.000010000100001e-05,2,29,11,1380843,True
279,2018-06-14 17:17:47.435953,0.1,1.0001000100010001e-05,7,0,5,22096,True
280,2018-06-14 17:17:48.809393,0.04,4.004004004004004e-05,9,2,3,2355,False
