sample,time,window,precision,modulation,band,power,payload,tx2txdone
258,2018-06-06 22:31:32.907979,0.1,2.0000004000000802e-08,7,24,15,37,0.0274087654817531
259,2018-06-06 22:32:01.843631,2.0,1.0000000500000025e-07,4,37,22,165,0.4758524237926212
260,2018-06-06 22:32:02.946388,0.004,4.000040000400004e-08,9,21,6,11,0.0012330523305233052
261,2018-06-06 22:32:05.124232,0.04,4.000004000004e-08,8,41,9,191,0.013364213364213366
262,2018-06-06 22:32:53.601428,10.0,5.000000250000012e-07,2,49,17,239,2.148540107427005
263,2018-06-06 22:33:23.406273,2.0,1.0000000500000025e-07,3,47,-1,180,0.9310159465507973
264,2018-06-06 22:33:49.732107,1.0,5.0000002500000126e-08,5,44,13,199,0.3199500159975008
265,2018-06-06 22:34:20.641816,0.04,4.000004000004e-08,8,6,15,249,
266,2018-06-06 22:34:52.427717,1.0,5.0000002500000126e-08,6,6,21,254,
267,2018-06-06 22:35:19.812867,1.0,5.0000002500000126e-08,5,29,-3,208,0.33018986650949333
268,2018-06-06 22:35:22.028411,0.04,4.000004000004e-08,8,1,15,195,0.013621173621173622
269,2018-06-06 22:35:29.417175,0.4,8.000001600000321e-08,6,20,15,122,0.12116786423357286
270,2018-06-06 22:35:58.521017,2.0,1.0000000500000025e-07,3,46,4,161,0.8286185414309271
271,2018-06-06 22:36:05.853959,0.1,2.0000004000000802e-08,5,17,-1,17,0.053712510742502155
272,2018-06-06 22:36:08.092528,0.01,1.000001000001e-08,8,45,21,46,0.004084264084264084
273,2018-06-06 22:36:41.641410,4.0,2.000000100000005e-07,2,42,19,114,1.124549856227493
274,2018-06-06 22:36:42.751470,0.004,4.000040000400004e-08,9,8,4,30,0.0019922999229992303
275,2018-06-06 22:37:54.271650,20.0,1.0000000500000025e-06,0,30,15,139,5.3167662658383135
276,2018-06-06 22:38:25.170254,0.04,4.000004000004e-08,9,39,20,250,
277,2018-06-06 22:38:59.099318,4.0,2.000000100000005e-07,0,7,4,30,1.7123200856160044
278,2018-06-06 22:39:28.123652,2.0,1.0000000500000025e-07,3,45,9,177,0.9105365455268273
279,2018-06-06 22:39:35.543501,0.4,8.000001600000321e-08,4,1,18,29,0.12769594553918912
