sample,time,window,precision,modulation,band,payload,measured
204,2018-06-07 10:55:15.778799,0.002,2.000020000200002e-08,6,37,254,0.0005275852758527586
205,2018-06-07 10:55:16.637754,0.002,2.000020000200002e-08,0,17,254,0.0005321053210532105
206,2018-06-07 10:55:17.497982,0.002,2.000020000200002e-08,1,12,254,0.0005268252682526825
207,2018-06-07 10:55:18.446028,0.002,2.000020000200002e-08,2,2,254,0.0005286052860528606
208,2018-06-07 10:55:19.307279,0.002,2.000020000200002e-08,3,12,254,0.0005269652696526966
209,2018-06-07 10:55:20.169536,0.002,2.000020000200002e-08,7,13,254,0.0005320253202532025
210,2018-06-07 10:55:21.029733,0.002,2.000020000200002e-08,4,1,254,0.0005293452934529346
211,2018-06-07 10:55:21.932924,0.002,2.000020000200002e-08,9,6,254,0.0004878448784487845
212,2018-06-07 10:55:22.847241,0.002,2.000020000200002e-08,3,43,254,0.0005268852688526885
213,2018-06-07 10:55:23.709823,0.002,2.000020000200002e-08,3,27,254,0.0005268652686526865
214,2018-06-07 10:55:24.585482,0.002,2.000020000200002e-08,8,29,254,0.0004886448864488645
215,2018-06-07 10:55:25.449240,0.002,2.000020000200002e-08,8,10,254,0.00048340483404834053
216,2018-06-07 10:55:26.299818,0.002,2.000020000200002e-08,7,19,254,0.0005253052530525305
217,2018-06-07 10:55:27.198199,0.002,2.000020000200002e-08,0,10,254,0.0005303053030530306
218,2018-06-07 10:55:28.063457,0.002,2.000020000200002e-08,4,41,254,0.0005270052700527006
219,2018-06-07 10:55:28.924199,0.002,2.000020000200002e-08,1,11,254,0.0005389053890538906
220,2018-06-07 10:55:29.795039,0.002,2.000020000200002e-08,2,48,254,0.0005285852858528586
221,2018-06-07 10:55:30.705143,0.002,2.000020000200002e-08,0,2,254,0.0005381453814538146
222,2018-06-07 10:55:31.575818,0.002,2.000020000200002e-08,6,2,254,0.0005253252532525325
223,2018-06-07 10:55:32.438670,0.002,2.000020000200002e-08,6,12,254,0.0005268452684526845
224,2018-06-07 10:55:33.307902,0.002,2.000020000200002e-08,0,3,254,0.0005268452684526845
225,2018-06-07 10:55:34.180712,0.002,2.000020000200002e-08,1,23,254,0.0005297052970529705
226,2018-06-07 10:55:35.048556,0.002,2.000020000200002e-08,0,37,254,0.0005313053130531305
