sample,time,window,precision,modulation,band,rx2rf
180,2018-05-31 18:48:14.489723,0.0004,4.0000400004000045e-09,7,51,8.53408534085341e-05
181,2018-05-31 18:48:15.511721,0.0004,4.0000400004000045e-09,5,8,8.53248532485325e-05
182,2018-05-31 18:48:16.533735,0.0004,4.0000400004000045e-09,7,16,8.534885348853489e-05
183,2018-05-31 18:48:17.555724,0.0004,4.0000400004000045e-09,9,45,8.50368503685037e-05
184,2018-05-31 18:48:18.654723,0.0004,4.0000400004000045e-09,2,27,8.520485204852049e-05
185,2018-05-31 18:48:19.752723,0.0004,4.0000400004000045e-09,0,24,8.52368523685237e-05
186,2018-05-31 18:48:20.690752,0.0004,4.0000400004000045e-09,0,43,8.530885308853089e-05
187,2018-05-31 18:48:21.673749,0.0004,4.0000400004000045e-09,7,8,8.530085300853009e-05
188,2018-05-31 18:48:22.656752,0.0004,4.0000400004000045e-09,8,50,8.50888508885089e-05
189,2018-05-31 18:48:23.644749,0.0004,4.0000400004000045e-09,9,37,8.50448504485045e-05
190,2018-05-31 18:48:24.546753,0.0004,4.0000400004000045e-09,2,43,8.52848528485285e-05
191,2018-05-31 18:48:25.573761,0.0004,4.0000400004000045e-09,4,11,8.52848528485285e-05
192,2018-05-31 18:48:26.554806,0.0004,4.0000400004000045e-09,4,40,8.520485204852049e-05
193,2018-05-31 18:48:27.578805,0.0004,4.0000400004000045e-09,7,12,8.52808528085281e-05
194,2018-05-31 18:48:28.594802,0.0004,4.0000400004000045e-09,2,9,8.52928529285293e-05
195,2018-05-31 18:48:29.574803,0.0004,4.0000400004000045e-09,5,27,8.52368523685237e-05
196,2018-05-31 18:48:30.594806,0.0004,4.0000400004000045e-09,0,37,8.52408524085241e-05
197,2018-05-31 18:48:31.656804,0.0004,4.0000400004000045e-09,6,40,8.53328533285333e-05
198,2018-05-31 18:48:32.641827,0.0004,4.0000400004000045e-09,4,28,8.540885408854089e-05
199,2018-05-31 18:48:33.666825,0.0004,4.0000400004000045e-09,1,33,8.52848528485285e-05
200,2018-05-31 18:48:34.727824,0.0004,4.0000400004000045e-09,4,37,8.52688526885269e-05
201,2018-05-31 18:48:35.704835,0.0004,4.0000400004000045e-09,0,4,8.530485304853049e-05
202,2018-05-31 18:48:36.690825,0.0004,4.0000400004000045e-09,9,3,8.50888508885089e-05
203,2018-05-31 18:48:37.711929,0.0004,4.0000400004000045e-09,4,45,8.534885348853489e-05
204,2018-05-31 18:48:38.660941,0.0004,4.0000400004000045e-09,0,13,8.530085300853009e-05
205,2018-05-31 18:48:39.642943,0.0004,4.0000400004000045e-09,2,19,8.52248522485225e-05
206,2018-05-31 18:48:40.545185,0.0004,4.0000400004000045e-09,7,7,8.52448524485245e-05
207,2018-05-31 18:48:41.527172,0.0004,4.0000400004000045e-09,2,1,8.530885308853089e-05
208,2018-05-31 18:48:42.509263,0.0004,4.0000400004000045e-09,4,27,8.53288532885329e-05
209,2018-05-31 18:48:43.418262,0.0004,4.0000400004000045e-09,5,48,8.51848518485185e-05
210,2018-05-31 18:48:44.483265,0.0004,4.0000400004000045e-09,6,32,8.526485264852649e-05
211,2018-05-31 18:48:45.468238,0.0004,4.0000400004000045e-09,7,8,8.53248532485325e-05
212,2018-05-31 18:48:46.456241,0.0004,4.0000400004000045e-09,3,23,8.53168531685317e-05
213,2018-05-31 18:48:47.562237,0.0004,4.0000400004000045e-09,1,31,8.53368533685337e-05
214,2018-05-31 18:48:48.547236,0.0004,4.0000400004000045e-09,1,19,8.53288532885329e-05
215,2018-05-31 18:48:49.580236,0.0004,4.0000400004000045e-09,0,31,8.515285152851529e-05
216,2018-05-31 18:48:50.615236,0.0004,4.0000400004000045e-09,4,36,8.531285312853129e-05
217,2018-05-31 18:48:51.678237,0.0004,4.0000400004000045e-09,0,0,8.52768527685277e-05
218,2018-05-31 18:48:52.581236,0.0004,4.0000400004000045e-09,7,47,8.530085300853009e-05
219,2018-05-31 18:48:53.727238,0.0004,4.0000400004000045e-09,5,12,8.52768527685277e-05
220,2018-05-31 18:48:54.793682,0.0004,4.0000400004000045e-09,1,34,8.531285312853129e-05
221,2018-05-31 18:48:55.745678,0.0004,4.0000400004000045e-09,4,45,8.53848538485385e-05
222,2018-05-31 18:48:56.732684,0.0004,4.0000400004000045e-09,8,43,8.50288502885029e-05
223,2018-05-31 18:48:57.762783,0.0004,4.0000400004000045e-09,5,49,8.53248532485325e-05
224,2018-05-31 18:48:58.787780,0.0004,4.0000400004000045e-09,4,28,8.525285252852529e-05
225,2018-05-31 18:48:59.767782,0.0004,4.0000400004000045e-09,0,46,8.52848528485285e-05
226,2018-05-31 18:49:00.875896,0.0004,4.0000400004000045e-09,8,18,8.50848508485085e-05
227,2018-05-31 18:49:01.936905,0.0004,4.0000400004000045e-09,6,28,8.535285352853529e-05
228,2018-05-31 18:49:03.005896,0.0004,4.0000400004000045e-09,4,0,8.52448524485245e-05
229,2018-05-31 18:49:03.989897,0.0004,4.0000400004000045e-09,5,21,8.530085300853009e-05
230,2018-05-31 18:49:04.970896,0.0004,4.0000400004000045e-09,2,22,8.52768527685277e-05
231,2018-05-31 18:49:06.000895,0.0004,4.0000400004000045e-09,8,6,8.500085000850009e-05
232,2018-05-31 18:49:07.025909,0.0004,4.0000400004000045e-09,9,42,8.50248502485025e-05
233,2018-05-31 18:49:07.965894,0.0004,4.0000400004000045e-09,2,22,8.53288532885329e-05
234,2018-05-31 18:49:08.988895,0.0004,4.0000400004000045e-09,9,5,8.495284952849529e-05
235,2018-05-31 18:49:10.010908,0.0004,4.0000400004000045e-09,5,14,8.52288522885229e-05
236,2018-05-31 18:49:11.003898,0.0004,4.0000400004000045e-09,7,32,8.52888528885289e-05
237,2018-05-31 18:49:11.913918,0.0004,4.0000400004000045e-09,2,33,8.52328523285233e-05
238,2018-05-31 18:49:12.895906,0.0004,4.0000400004000045e-09,0,42,8.52768527685277e-05
239,2018-05-31 18:49:13.843907,0.0004,4.0000400004000045e-09,8,1,8.50368503685037e-05
240,2018-05-31 18:49:14.916905,0.0004,4.0000400004000045e-09,5,34,8.530885308853089e-05
241,2018-05-31 18:49:16.023977,0.0004,4.0000400004000045e-09,2,28,8.53768537685377e-05
242,2018-05-31 18:49:17.008974,0.0004,4.0000400004000045e-09,8,5,8.50448504485045e-05
243,2018-05-31 18:49:17.988969,0.0004,4.0000400004000045e-09,6,9,8.530885308853089e-05
244,2018-05-31 18:49:18.857969,0.0004,4.0000400004000045e-09,3,21,8.540885408854089e-05
245,2018-05-31 18:49:19.811970,0.0004,4.0000400004000045e-09,0,10,8.51888518885189e-05
246,2018-05-31 18:49:20.796968,0.0004,4.0000400004000045e-09,7,12,8.53688536885369e-05
247,2018-05-31 18:49:21.815969,0.0004,4.0000400004000045e-09,5,5,8.51808518085181e-05
248,2018-05-31 18:49:22.883500,0.0004,4.0000400004000045e-09,5,33,8.53288532885329e-05
249,2018-05-31 18:49:23.904498,0.0004,4.0000400004000045e-09,0,32,8.530885308853089e-05
250,2018-05-31 18:49:24.888485,0.0004,4.0000400004000045e-09,3,36,8.51968519685197e-05
251,2018-05-31 18:49:25.869486,0.0004,4.0000400004000045e-09,3,6,8.53208532085321e-05
252,2018-05-31 18:49:26.849486,0.0004,4.0000400004000045e-09,3,15,8.53688536885369e-05
253,2018-05-31 18:49:27.754486,0.0004,4.0000400004000045e-09,2,4,8.526485264852649e-05
254,2018-05-31 18:49:28.855490,0.0004,4.0000400004000045e-09,3,29,8.524885248852489e-05
255,2018-05-31 18:49:29.841565,0.0004,4.0000400004000045e-09,1,43,8.526485264852649e-05
256,2018-05-31 18:49:30.826564,0.0004,4.0000400004000045e-09,5,33,8.536085360853609e-05
257,2018-05-31 18:49:31.733563,0.0004,4.0000400004000045e-09,1,39,8.535285352853529e-05
258,2018-05-31 18:49:32.801591,0.0004,4.0000400004000045e-09,9,24,8.50288502885029e-05
259,2018-05-31 18:49:33.790584,0.0004,4.0000400004000045e-09,8,24,8.506085060850609e-05
260,2018-05-31 18:49:34.742586,0.0004,4.0000400004000045e-09,4,48,8.536085360853609e-05
261,2018-05-31 18:49:35.765585,0.0004,4.0000400004000045e-09,9,5,8.504885048850489e-05
262,2018-05-31 18:49:36.756587,0.0004,4.0000400004000045e-09,3,12,8.53368533685337e-05
263,2018-05-31 18:49:37.701601,0.0004,4.0000400004000045e-09,4,36,8.530085300853009e-05
264,2018-05-31 18:49:38.737602,0.0004,4.0000400004000045e-09,1,17,8.531285312853129e-05
265,2018-05-31 18:49:39.653662,0.0004,4.0000400004000045e-09,7,5,8.52408524085241e-05
266,2018-05-31 18:49:40.712669,0.0004,4.0000400004000045e-09,7,16,8.53168531685317e-05
267,2018-05-31 18:49:41.741669,0.0004,4.0000400004000045e-09,0,49,8.535685356853569e-05
268,2018-05-31 18:49:42.771669,0.0004,4.0000400004000045e-09,9,38,8.50368503685037e-05
269,2018-05-31 18:49:43.719669,0.0004,4.0000400004000045e-09,8,2,8.496484964849649e-05
270,2018-05-31 18:49:44.741668,0.0004,4.0000400004000045e-09,7,51,8.526085260852609e-05
271,2018-05-31 18:49:45.847671,0.0004,4.0000400004000045e-09,1,40,8.540885408854089e-05
272,2018-05-31 18:49:46.791670,0.0004,4.0000400004000045e-09,7,7,8.525685256852569e-05
273,2018-05-31 18:49:47.729671,0.0004,4.0000400004000045e-09,6,2,8.52168521685217e-05
274,2018-05-31 18:49:48.715670,0.0004,4.0000400004000045e-09,8,41,8.50728507285073e-05
275,2018-05-31 18:49:49.700670,0.0004,4.0000400004000045e-09,3,31,8.530485304853049e-05
276,2018-05-31 18:49:50.730669,0.0004,4.0000400004000045e-09,9,8,8.510085100851009e-05
277,2018-05-31 18:49:51.837669,0.0004,4.0000400004000045e-09,1,33,8.52968529685297e-05
278,2018-05-31 18:49:52.861685,0.0004,4.0000400004000045e-09,5,46,8.52968529685297e-05
279,2018-05-31 18:49:53.961668,0.0004,4.0000400004000045e-09,1,7,8.53288532885329e-05
280,2018-05-31 18:49:55.005669,0.0004,4.0000400004000045e-09,6,30,8.53168531685317e-05
281,2018-05-31 18:49:56.039940,0.0004,4.0000400004000045e-09,2,20,8.53448534485345e-05
282,2018-05-31 18:49:56.992964,0.0004,4.0000400004000045e-09,6,25,8.53928539285393e-05
283,2018-05-31 18:49:58.055975,0.0004,4.0000400004000045e-09,9,27,8.50688506885069e-05
284,2018-05-31 18:49:59.120971,0.0004,4.0000400004000045e-09,9,18,8.510485104851049e-05
285,2018-05-31 18:50:00.147973,0.0004,4.0000400004000045e-09,0,32,8.530485304853049e-05
286,2018-05-31 18:50:01.172975,0.0004,4.0000400004000045e-09,0,43,8.52848528485285e-05
287,2018-05-31 18:50:02.159983,0.0004,4.0000400004000045e-09,7,43,8.530885308853089e-05
288,2018-05-31 18:50:03.144981,0.0004,4.0000400004000045e-09,4,40,8.53368533685337e-05
289,2018-05-31 18:50:04.180974,0.0004,4.0000400004000045e-09,1,30,8.53808538085381e-05
290,2018-05-31 18:50:05.173008,0.0004,4.0000400004000045e-09,4,21,8.520885208852089e-05
291,2018-05-31 18:50:06.126008,0.0004,4.0000400004000045e-09,5,5,8.53328533285333e-05
292,2018-05-31 18:50:07.118007,0.0004,4.0000400004000045e-09,6,3,8.53408534085341e-05
293,2018-05-31 18:50:08.190007,0.0004,4.0000400004000045e-09,9,19,8.49448494484945e-05
294,2018-05-31 18:50:09.251132,0.0004,4.0000400004000045e-09,4,48,8.52848528485285e-05
295,2018-05-31 18:50:10.277135,0.0004,4.0000400004000045e-09,8,1,8.50968509685097e-05
296,2018-05-31 18:50:11.384154,0.0004,4.0000400004000045e-09,5,49,8.53208532085321e-05
297,2018-05-31 18:50:12.571184,0.0004,4.0000400004000045e-09,9,28,8.501685016850169e-05
298,2018-05-31 18:50:13.639192,0.0004,4.0000400004000045e-09,8,11,8.49768497684977e-05
299,2018-05-31 18:50:14.545439,0.0004,4.0000400004000045e-09,8,32,8.506085060850609e-05
300,2018-05-31 18:50:15.493514,0.0004,4.0000400004000045e-09,5,51,8.52888528885289e-05
301,2018-05-31 18:50:16.483519,0.0004,4.0000400004000045e-09,8,44,8.506485064850649e-05
302,2018-05-31 18:50:17.508507,0.0004,4.0000400004000045e-09,4,18,8.530085300853009e-05
303,2018-05-31 18:50:18.414519,0.0004,4.0000400004000045e-09,3,12,8.52768527685277e-05
304,2018-05-31 18:50:19.404507,0.0004,4.0000400004000045e-09,7,7,8.54848548485485e-05
305,2018-05-31 18:50:20.400506,0.0004,4.0000400004000045e-09,8,1,8.504885048850489e-05
306,2018-05-31 18:50:21.466505,0.0004,4.0000400004000045e-09,2,33,8.52888528885289e-05
