sample,time,window,precision,modulation,band,delay,sleep,wakeup
195,2018-06-07 10:02:22.469936,0.4,4.000040000400005e-06,3,17,0.05104137885591575,1.600016000160002e-05,0.00048400484004840053
196,2018-06-07 10:02:23.891999,0.4,4.000040000400005e-06,0,4,0.03928618243806275,1.2000120001200014e-05,0.0005120051200512006
197,2018-06-07 10:02:25.324047,0.4,4.000040000400005e-06,7,31,0.09178985427338915,1.600016000160002e-05,0.00048400484004840053
198,2018-06-07 10:02:26.724745,0.4,4.000040000400005e-06,0,30,0.12892657122745374,1.600016000160002e-05,0.00048400484004840053
199,2018-06-07 10:02:28.118065,0.4,4.000040000400005e-06,2,45,0.151074370447865,1.600016000160002e-05,0.00048400484004840053
200,2018-06-07 10:02:29.523810,0.4,4.000040000400005e-06,1,21,0.06402351990749103,1.600016000160002e-05,0.00048800488004880054
201,2018-06-07 10:02:30.962214,0.4,4.000040000400005e-06,0,14,0.05836679624555352,1.600016000160002e-05,0.00048800488004880054
202,2018-06-07 10:02:32.392141,0.4,4.000040000400005e-06,3,25,0.08670061007002826,1.600016000160002e-05,0.00048400484004840053
203,2018-06-07 10:02:33.853153,0.4,4.000040000400005e-06,6,32,0.1877079768621155,1.600016000160002e-05,0.00048400484004840053
204,2018-06-07 10:02:35.221512,0.4,4.000040000400005e-06,1,42,0.031091470815947677,1.600016000160002e-05,0.0004800048000480005
205,2018-06-07 10:02:36.611795,0.4,4.000040000400005e-06,1,15,0.16059374733306286,1.600016000160002e-05,0.00048400484004840053
206,2018-06-07 10:02:37.988057,0.4,4.000040000400005e-06,6,50,0.1333369905314385,1.600016000160002e-05,0.00048400484004840053
207,2018-06-07 10:02:39.398375,0.4,4.000040000400005e-06,7,39,0.13635657895934525,1.600016000160002e-05,0.00048800488004880054
208,2018-06-07 10:02:40.822828,0.4,4.000040000400005e-06,7,50,0.19542058278922625,1.600016000160002e-05,0.00048800488004880054
209,2018-06-07 10:02:42.262050,0.4,4.000040000400005e-06,5,49,0.16549466702323026,1.2000120001200014e-05,0.00048400484004840053
210,2018-06-07 10:02:43.742147,0.4,4.000040000400005e-06,1,38,0.055679552850074025,1.600016000160002e-05,0.00048400484004840053
211,2018-06-07 10:02:45.246474,0.4,4.000040000400005e-06,7,10,0.044518031725911116,1.600016000160002e-05,0.00048800488004880054
212,2018-06-07 10:02:46.622711,0.4,4.000040000400005e-06,6,27,0.17433552978030703,1.2000120001200014e-05,0.0004800048000480005
213,2018-06-07 10:02:47.977840,0.4,4.000040000400005e-06,0,24,0.13338339682428355,1.600016000160002e-05,0.00048800488004880054
214,2018-06-07 10:02:49.392634,0.4,4.000040000400005e-06,7,28,0.13369747249530708,1.600016000160002e-05,0.00048400484004840053
215,2018-06-07 10:02:50.829358,0.4,4.000040000400005e-06,3,28,0.0989965388136187,1.600016000160002e-05,0.00048400484004840053
216,2018-06-07 10:02:52.232236,0.4,4.000040000400005e-06,0,4,0.02033604402191971,1.600016000160002e-05,0.0005120051200512006
217,2018-06-07 10:02:53.596413,0.4,4.000040000400005e-06,3,12,0.13111449127199512,1.600016000160002e-05,0.0004800048000480005
218,2018-06-07 10:02:54.963490,0.4,4.000040000400005e-06,6,50,0.12493207592542216,1.600016000160002e-05,0.00048400484004840053
219,2018-06-07 10:02:56.348283,0.4,4.000040000400005e-06,4,45,0.18644008064188713,1.600016000160002e-05,0.00048400484004840053
220,2018-06-07 10:02:57.792210,0.4,4.000040000400005e-06,1,34,0.058212942683099914,1.600016000160002e-05,0.00048400484004840053
221,2018-06-07 10:02:59.238516,0.4,4.000040000400005e-06,5,15,0.11183557556444641,1.600016000160002e-05,0.00048400484004840053
222,2018-06-07 10:03:00.736568,0.4,4.000040000400005e-06,4,51,0.060995053759730314,1.600016000160002e-05,0.00048400484004840053
223,2018-06-07 10:03:02.339123,0.4,4.000040000400005e-06,1,15,0.10103483605298279,1.600016000160002e-05,0.00048400484004840053
224,2018-06-07 10:03:03.702382,0.4,4.000040000400005e-06,3,45,0.015694843087054513,1.600016000160002e-05,0.00048400484004840053
225,2018-06-07 10:03:05.082761,0.4,4.000040000400005e-06,2,12,0.14049363741633367,1.600016000160002e-05,0.00048400484004840053
226,2018-06-07 10:03:06.501226,0.4,4.000040000400005e-06,0,27,0.17465875473804385,1.600016000160002e-05,0.00048400484004840053
227,2018-06-07 10:03:07.927661,0.4,4.000040000400005e-06,1,30,0.1500952831494346,1.2000120001200014e-05,0.00048800488004880054
228,2018-06-07 10:03:09.433914,0.4,4.000040000400005e-06,0,42,0.11220626561135845,1.2000120001200014e-05,0.00048400484004840053
229,2018-06-07 10:03:10.837313,0.4,4.000040000400005e-06,1,37,0.05309150869704953,1.600016000160002e-05,0.0004800048000480005
230,2018-06-07 10:03:12.262518,0.4,4.000040000400005e-06,4,7,0.08076269783519868,1.2000120001200014e-05,0.0005120051200512006
231,2018-06-07 10:03:13.674511,0.4,4.000040000400005e-06,2,50,0.05775942989171417,1.600016000160002e-05,0.0004800048000480005
