sample,time,window,precision,modulation,band,cad2rf,cad2done,detected
92,2018-06-06 19:38:18.561658,0.1,2.0000004000000802e-08,1,42,8.496001699200341e-05,0.07846821569364315,False
93,2018-06-06 19:38:21.122571,0.01,1.000001000001e-08,5,47,8.503008503008504e-05,0.004775624775624776,True
94,2018-06-06 19:38:31.464200,0.1,2.0000004000000802e-08,2,4,8.49200169840034e-05,0.03879068775813756,True
95,2018-06-06 19:38:41.817826,0.1,2.0000004000000802e-08,2,10,8.500001700000341e-05,0.038788707757741556,False
96,2018-06-06 19:38:42.872659,0.004,4.000040000400004e-08,6,26,8.49208492084921e-05,0.0024235442354423545,True
97,2018-06-06 19:38:45.470707,0.04,4.000004000004e-08,3,22,8.496008496008496e-05,0.01920717920717921,True
98,2018-06-06 19:38:48.091633,0.02,2.000002000002e-08,4,39,8.502008502008503e-05,0.009541749541749543,False
99,2018-06-06 19:38:49.181275,0.004,4.000040000400004e-08,6,37,8.504085040850409e-05,0.0024220642206422066,False
100,2018-06-06 19:38:51.957801,0.04,4.000004000004e-08,3,7,8.5000085000085e-05,0.019207259207259207,True
101,2018-06-06 19:38:53.009479,0.002,2.000020000200002e-08,7,37,8.49808498084981e-05,0.0012638526385263854,True
102,2018-06-06 19:38:55.460482,0.04,4.000004000004e-08,3,34,8.512008512008513e-05,0.01920677920677921,True
103,2018-06-06 19:38:58.151528,0.04,4.000004000004e-08,3,39,8.496008496008496e-05,0.019205339205339206,False
104,2018-06-06 19:39:07.963278,0.1,2.0000004000000802e-08,1,17,8.502001700400341e-05,0.07846833569366715,False
105,2018-06-06 19:39:10.484504,0.04,4.000004000004e-08,3,34,8.5000085000085e-05,0.01920537920537921,False
106,2018-06-06 19:39:20.350942,0.1,2.0000004000000802e-08,2,37,8.496001699200341e-05,0.038790407758081555,True
107,2018-06-06 19:39:29.960869,0.1,2.0000004000000802e-08,1,17,8.502001700400341e-05,0.07846851569370315,False
108,2018-06-06 19:39:39.437085,0.1,2.0000004000000802e-08,1,30,8.49800169960034e-05,0.07846823569364715,False
109,2018-06-06 19:39:42.157274,0.01,1.000001000001e-08,5,29,8.4990084990085e-05,0.0047753347753347756,True
110,2018-06-06 19:39:52.180781,0.1,2.0000004000000802e-08,2,29,8.496001699200341e-05,0.03878890775778156,True
111,2018-06-06 19:39:54.720666,0.01,1.000001000001e-08,5,27,8.502008502008503e-05,0.004775344775344775,True
112,2018-06-06 19:39:57.357390,0.04,4.000004000004e-08,3,38,8.496008496008496e-05,0.01920689920689921,True
113,2018-06-06 19:39:58.450899,0.002,2.000020000200002e-08,7,5,8.50208502085021e-05,0.0012625326253262533,False
114,2018-06-06 19:40:01.062547,0.02,2.000002000002e-08,4,0,8.498008498008498e-05,0.009542529542529543,True
115,2018-06-06 19:40:02.159697,0.002,2.000020000200002e-08,7,43,8.494084940849409e-05,0.0012638126381263814,True
116,2018-06-06 19:40:04.752883,0.04,4.000004000004e-08,3,5,8.496008496008496e-05,0.01920717920717921,True
117,2018-06-06 19:40:14.467093,0.1,2.0000004000000802e-08,2,22,8.502001700400341e-05,0.038790287758057554,True
118,2018-06-06 19:40:17.167585,0.04,4.000004000004e-08,3,30,8.5000085000085e-05,0.01920713920713921,True
119,2018-06-06 19:40:27.374788,0.1,2.0000004000000802e-08,1,21,8.504001700800342e-05,0.07847043569408715,True
120,2018-06-06 19:40:30.029616,0.04,4.000004000004e-08,3,37,8.496008496008496e-05,0.01920537920537921,False
121,2018-06-06 19:40:39.977999,0.1,2.0000004000000802e-08,1,33,8.500001700000341e-05,0.07846829569365915,False
122,2018-06-06 19:40:49.940117,0.1,2.0000004000000802e-08,2,25,8.502001700400341e-05,0.038788647757729555,False
123,2018-06-06 19:40:51.043281,0.002,2.000020000200002e-08,7,31,8.50208502085021e-05,0.0012636326363263633,True
124,2018-06-06 19:41:01.520854,0.2,4.0000008000001605e-08,0,48,8.496001699200341e-05,0.15885179177035838,False
125,2018-06-06 19:41:11.615069,0.1,2.0000004000000802e-08,1,41,8.500001700000341e-05,0.07846829569365915,False
126,2018-06-06 19:41:12.757721,0.004,4.000040000400004e-08,6,21,8.500085000850009e-05,0.0024236242362423626,True
127,2018-06-06 19:41:15.498697,0.04,4.000004000004e-08,3,33,8.496008496008496e-05,0.019205339205339206,False
128,2018-06-06 19:41:16.634020,0.004,4.000040000400004e-08,6,24,8.504085040850409e-05,0.0024231442314423144,True
129,2018-06-06 19:41:17.818566,0.002,2.000020000200002e-08,7,29,8.49808498084981e-05,0.0012620326203262033,False
130,2018-06-06 19:41:28.238305,0.1,2.0000004000000802e-08,2,51,8.496001699200341e-05,0.03878916775783356,False
131,2018-06-06 19:41:38.106503,0.1,2.0000004000000802e-08,1,32,8.500001700000341e-05,0.07847011569402315,True
132,2018-06-06 19:41:39.198111,0.002,2.000020000200002e-08,7,15,8.49208492084921e-05,0.0012624726247262475,False
133,2018-06-06 19:41:49.429268,0.2,4.0000008000001605e-08,0,47,8.500001700000341e-05,0.15885155177031038,False
134,2018-06-06 19:41:59.420901,0.2,4.0000008000001605e-08,0,16,8.504001700800342e-05,0.15885339177067836,True
135,2018-06-06 19:42:09.719586,0.1,2.0000004000000802e-08,1,12,8.500001700000341e-05,0.07846887569377514,False
136,2018-06-06 19:42:19.691010,0.1,2.0000004000000802e-08,2,0,8.506001701200341e-05,0.038790527758105556,True
137,2018-06-06 19:42:20.791562,0.002,2.000020000200002e-08,7,16,8.50208502085021e-05,0.0012620926209262094,False
138,2018-06-06 19:42:30.756623,0.2,4.0000008000001605e-08,0,44,8.49200169840034e-05,0.15885323177064636,True
139,2018-06-06 19:42:41.030705,0.2,4.0000008000001605e-08,0,4,8.500001700000341e-05,0.15885351177070237,True
140,2018-06-06 19:42:43.623618,0.02,2.000002000002e-08,4,31,8.506008506008506e-05,0.009541529541529542,False
141,2018-06-06 19:42:53.776626,0.1,2.0000004000000802e-08,1,6,8.49800169960034e-05,0.07847003569400715,True
142,2018-06-06 19:42:56.447421,0.01,1.000001000001e-08,5,9,8.502008502008503e-05,0.004773984773984774,False
143,2018-06-06 19:42:58.965109,0.04,4.000004000004e-08,3,7,8.504008504008504e-05,0.01920537920537921,False
144,2018-06-06 19:43:01.766990,0.02,2.000002000002e-08,4,26,8.504008504008504e-05,0.009541709541709542,False
145,2018-06-06 19:43:04.500742,0.01,1.000001000001e-08,5,18,8.5000085000085e-05,0.004774044774044774,False
146,2018-06-06 19:43:14.604606,0.1,2.0000004000000802e-08,2,19,8.500001700000341e-05,0.03878888775777756,False
147,2018-06-06 19:43:17.203758,0.04,4.000004000004e-08,3,38,8.492008492008493e-05,0.019205099205099205,False
148,2018-06-06 19:43:27.007795,0.1,2.0000004000000802e-08,1,17,8.494001698800341e-05,0.07846845569369115,False
149,2018-06-06 19:43:29.675031,0.01,1.000001000001e-08,5,4,8.4990084990085e-05,0.004776024776024776,True
150,2018-06-06 19:43:39.685681,0.2,4.0000008000001605e-08,0,18,8.500001700000341e-05,0.15885147177029438,False
151,2018-06-06 19:43:40.741839,0.004,4.000040000400004e-08,6,43,8.496084960849609e-05,0.0024238242382423826,True
152,2018-06-06 19:43:43.433801,0.04,4.000004000004e-08,3,11,8.496008496008496e-05,0.019205059205059206,False
153,2018-06-06 19:43:46.176071,0.01,1.000001000001e-08,5,30,8.501008501008502e-05,0.004773794773794774,False
154,2018-06-06 19:43:55.997049,0.1,2.0000004000000802e-08,1,32,8.500001700000341e-05,0.07847007569401515,True
155,2018-06-06 19:44:05.821902,0.2,4.0000008000001605e-08,0,6,8.500001700000341e-05,0.15885179177035838,False
156,2018-06-06 19:44:08.747711,0.01,1.000001000001e-08,5,11,8.505008505008505e-05,0.004774324774324774,False
157,2018-06-06 19:44:09.882892,0.004,4.000040000400004e-08,6,36,8.504085040850409e-05,0.002422904229042291,True
158,2018-06-06 19:44:12.488467,0.01,1.000001000001e-08,5,10,8.505008505008505e-05,0.004774274774274775,False
159,2018-06-06 19:44:13.619986,0.004,4.000040000400004e-08,6,11,8.500085000850009e-05,0.0024236642366423666,True
160,2018-06-06 19:44:23.609352,0.1,2.0000004000000802e-08,2,47,8.502001700400341e-05,0.03878918775783756,False
161,2018-06-06 19:44:24.700921,0.002,2.000020000200002e-08,7,12,8.49808498084981e-05,0.0012638526385263854,True
162,2018-06-06 19:44:25.881653,0.004,4.000040000400004e-08,6,19,8.500085000850009e-05,0.0024220642206422066,False
163,2018-06-06 19:44:28.607744,0.02,2.000002000002e-08,4,4,8.496008496008496e-05,0.009543269543269544,True
164,2018-06-06 19:44:29.661446,0.002,2.000020000200002e-08,7,5,8.500085000850009e-05,0.0012638926389263894,True
165,2018-06-06 19:44:30.925948,0.004,4.000040000400004e-08,6,40,8.500085000850009e-05,0.0024221042210422106,False
166,2018-06-06 19:44:31.980611,0.002,2.000020000200002e-08,7,21,8.49808498084981e-05,0.0012638526385263854,True
167,2018-06-06 19:44:34.683979,0.02,2.000002000002e-08,4,10,8.502008502008503e-05,0.009542529542529543,True
168,2018-06-06 19:44:44.647230,0.1,2.0000004000000802e-08,2,27,8.49800169960034e-05,0.03878912775782556,False
169,2018-06-06 19:44:47.284106,0.01,1.000001000001e-08,5,15,8.502008502008503e-05,0.004775564775564776,True
170,2018-06-06 19:44:57.084320,0.1,2.0000004000000802e-08,1,16,8.49800169960034e-05,0.07847031569406315,True
171,2018-06-06 19:45:07.034259,0.2,4.0000008000001605e-08,0,26,8.508001701600341e-05,0.15885195177039038,False
172,2018-06-06 19:45:17.338393,0.2,4.0000008000001605e-08,0,46,8.500001700000341e-05,0.15885331177066236,True
173,2018-06-06 19:45:19.999432,0.02,2.000002000002e-08,4,34,8.504008504008504e-05,0.009541969541969543,False
174,2018-06-06 19:45:29.936028,0.1,2.0000004000000802e-08,2,37,8.49800169960034e-05,0.03879070775814156,True
175,2018-06-06 19:45:32.691153,0.04,4.000004000004e-08,3,2,8.504008504008504e-05,0.01920645920645921,True
176,2018-06-06 19:45:35.419110,0.01,1.000001000001e-08,5,4,8.497008497008497e-05,0.0047755147755147755,True
177,2018-06-06 19:45:45.808503,0.1,2.0000004000000802e-08,2,51,8.502001700400341e-05,0.038790487758097555,True
178,2018-06-06 19:45:48.409901,0.01,1.000001000001e-08,5,1,8.502008502008503e-05,0.004774304774304775,False
179,2018-06-06 19:45:51.102449,0.02,2.000002000002e-08,4,37,8.502008502008503e-05,0.009541709541709542,False
180,2018-06-06 19:45:53.603461,0.02,2.000002000002e-08,4,25,8.502008502008503e-05,0.009541769541769543,False
181,2018-06-06 19:46:03.841887,0.2,4.0000008000001605e-08,0,45,8.496001699200341e-05,0.15885147177029438,False
182,2018-06-06 19:46:13.779004,0.1,2.0000004000000802e-08,1,16,8.500001700000341e-05,0.07846825569365115,False
183,2018-06-06 19:46:23.379531,0.1,2.0000004000000802e-08,1,6,8.49800169960034e-05,0.07846985569397115,True
184,2018-06-06 19:46:24.471500,0.002,2.000020000200002e-08,7,16,8.49208492084921e-05,0.0012624726247262475,False
185,2018-06-06 19:46:27.139235,0.02,2.000002000002e-08,4,10,8.504008504008504e-05,0.009543589543589545,True
186,2018-06-06 19:46:36.900137,0.1,2.0000004000000802e-08,1,22,8.500001700000341e-05,0.07847057569411515,True
187,2018-06-06 19:46:38.005741,0.004,4.000040000400004e-08,6,21,8.496084960849609e-05,0.0024235442354423545,True
188,2018-06-06 19:46:48.068887,0.1,2.0000004000000802e-08,2,35,8.496001699200341e-05,0.038788647757729555,False
189,2018-06-06 19:46:49.172011,0.002,2.000020000200002e-08,7,5,8.496084960849609e-05,0.0012638326383263834,True
190,2018-06-06 19:46:51.800267,0.02,2.000002000002e-08,4,2,8.496008496008496e-05,0.009542749542749543,True
191,2018-06-06 19:46:54.443982,0.04,4.000004000004e-08,3,7,8.5000085000085e-05,0.019204899204899206,True
192,2018-06-06 19:46:57.086654,0.02,2.000002000002e-08,4,2,8.5000085000085e-05,0.009541489541489543,False
193,2018-06-06 19:47:07.045231,0.2,4.0000008000001605e-08,0,32,8.49200169840034e-05,0.15885347177069437,True
194,2018-06-06 19:47:09.738562,0.01,1.000001000001e-08,5,35,8.502008502008503e-05,0.004773984773984774,False
195,2018-06-06 19:47:12.608921,0.01,1.000001000001e-08,5,45,8.497008497008497e-05,0.004775324775324776,True
196,2018-06-06 19:47:22.614739,0.1,2.0000004000000802e-08,2,25,8.502001700400341e-05,0.03879022775804555,True
197,2018-06-06 19:47:32.511828,0.2,4.0000008000001605e-08,0,19,8.500001700000341e-05,0.15885355177071037,True
198,2018-06-06 19:47:35.349668,0.04,4.000004000004e-08,3,11,8.5000085000085e-05,0.019205419205419207,False
199,2018-06-06 19:47:37.967576,0.01,1.000001000001e-08,5,3,8.497008497008497e-05,0.004775064775064775,True
200,2018-06-06 19:47:40.508660,0.01,1.000001000001e-08,5,43,8.4990084990085e-05,0.004774264774264775,False
201,2018-06-06 19:47:41.596048,0.004,4.000040000400004e-08,6,49,8.496084960849609e-05,0.0024236242362423626,True
202,2018-06-06 19:47:42.780108,0.002,2.000020000200002e-08,7,6,8.504085040850409e-05,0.0012641726417264173,True
203,2018-06-06 19:47:45.520555,0.01,1.000001000001e-08,5,37,8.501008501008502e-05,0.004775354775354776,True
204,2018-06-06 19:47:48.080251,0.04,4.000004000004e-08,3,33,8.5000085000085e-05,0.019205419205419207,False
205,2018-06-06 19:47:58.327323,0.2,4.0000008000001605e-08,0,35,8.500001700000341e-05,0.15885147177029438,False
206,2018-06-06 19:47:59.425724,0.002,2.000020000200002e-08,7,20,8.496084960849609e-05,0.0012635726357263573,True
207,2018-06-06 19:48:01.992801,0.04,4.000004000004e-08,3,43,8.5000085000085e-05,0.019205339205339206,False
208,2018-06-06 19:48:03.124856,0.004,4.000040000400004e-08,6,28,8.496084960849609e-05,0.0024222642226422266,False
209,2018-06-06 19:48:04.204489,0.004,4.000040000400004e-08,6,9,8.500085000850009e-05,0.0024223042230422306,False
210,2018-06-06 19:48:06.675884,0.04,4.000004000004e-08,3,2,8.504008504008504e-05,0.019205459205459206,False
211,2018-06-06 19:48:09.311706,0.01,1.000001000001e-08,5,35,8.494008494008495e-05,0.004775234775234775,True
