sample,time,window,precision,modulation,band,preamble,offset_1,offset_2,valid
165,2018-06-18 11:50:14.730999,0.04,4.004004004004004e-05,8,17,8,7126,8017,True
166,2018-06-18 11:50:15.863999,0.04,4.004004004004004e-05,9,13,11,5044,8277,True
167,2018-06-18 11:50:17.147972,0.1,1.0001000100010001e-05,5,45,12,247234,319784,False
168,2018-06-18 11:50:18.331969,0.04,4.004004004004004e-05,7,12,7,45369,63966,True
169,2018-06-18 11:50:23.702239,2.0,2.000020000200002e-05,0,8,4,4403692,5173920,True
170,2018-06-18 11:50:24.976224,0.1,1.0001000100010001e-05,6,42,12,85177,119374,True
171,2018-06-18 11:50:26.492218,0.4,4.0004000400040005e-05,3,47,11,986871,1019638,False
172,2018-06-18 11:50:27.745438,0.1,1.0001000100010001e-05,5,16,11,64403,216622,True
173,2018-06-18 11:50:28.953279,0.04,4.004004004004004e-05,7,51,6,56578,58673,False
174,2018-06-18 11:50:30.099353,0.04,4.004004004004004e-05,9,15,2,1205,1236,True
175,2018-06-18 11:50:33.086471,1.0,1.000010000100001e-05,1,23,9,3636352,3881646,False
176,2018-06-18 11:50:34.272345,0.04,4.004004004004004e-05,7,15,9,61600,69291,False
177,2018-06-18 11:50:35.513893,0.1,1.0001000100010001e-05,6,6,8,63650,64972,True
178,2018-06-18 11:50:36.694263,0.04,4.004004004004004e-05,6,42,8,43357,43917,True
179,2018-06-18 11:50:39.703772,1.0,1.000010000100001e-05,1,32,12,1068134,2409250,True
180,2018-06-18 11:50:45.185279,2.0,2.000020000200002e-05,0,46,10,1996695,5226245,True
181,2018-06-18 11:50:46.360908,0.04,4.004004004004004e-05,8,48,5,557,3166,False
182,2018-06-18 11:50:47.491943,0.04,4.004004004004004e-05,7,0,8,24687,50689,True
183,2018-06-18 11:50:52.903534,2.0,2.000020000200002e-05,0,0,12,5138,7950553,False
184,2018-06-18 11:50:54.088555,0.04,4.004004004004004e-05,9,0,5,3704,3813,True
185,2018-06-18 11:50:59.527723,2.0,2.000020000200002e-05,0,34,11,2206157,6634635,True
186,2018-06-18 11:51:00.710726,0.04,4.004004004004004e-05,7,21,3,25454,45966,True
187,2018-06-18 11:51:01.933737,0.1,1.0001000100010001e-05,5,14,7,125977,198940,True
188,2018-06-18 11:51:03.096724,0.04,4.004004004004004e-05,8,27,2,2380,2559,True
189,2018-06-18 11:51:04.359752,0.1,1.0001000100010001e-05,6,28,3,38422,78898,True
190,2018-06-18 11:51:09.720847,2.0,2.000020000200002e-05,0,43,8,5412161,7389958,True
191,2018-06-18 11:51:12.699510,1.0,1.000010000100001e-05,0,42,3,723785,2723281,False
192,2018-06-18 11:51:13.957522,0.1,1.0001000100010001e-05,5,25,11,2005,305377,False
193,2018-06-18 11:51:15.132749,0.04,4.004004004004004e-05,9,7,8,4407,4990,False
194,2018-06-18 11:51:16.351414,0.04,4.004004004004004e-05,9,18,10,6607,7420,False
195,2018-06-18 11:51:17.678168,0.2,2.0002000200020003e-05,3,6,7,734308,748972,False
196,2018-06-18 11:51:18.853551,0.04,4.004004004004004e-05,8,5,8,474,8232,True
197,2018-06-18 11:51:21.851216,1.0,1.000010000100001e-05,2,44,11,1941727,2224840,False
198,2018-06-18 11:51:23.171836,0.2,2.0002000200020003e-05,3,4,8,615416,657445,True
199,2018-06-18 11:51:24.353350,0.04,4.004004004004004e-05,8,9,5,5277,5958,True
200,2018-06-18 11:51:25.476007,0.04,4.004004004004004e-05,8,11,5,66,1448,False
201,2018-06-18 11:51:26.703513,0.1,1.0001000100010001e-05,6,24,8,130720,132134,False
202,2018-06-18 11:51:28.087421,0.2,2.0002000200020003e-05,4,19,11,232324,412942,True
203,2018-06-18 11:51:29.370893,0.2,2.0002000200020003e-05,3,6,6,330893,601137,True
204,2018-06-18 11:51:32.340744,1.0,1.000010000100001e-05,1,28,6,823053,2603734,False
205,2018-06-18 11:51:33.845691,0.4,4.0004000400040005e-05,2,31,9,322128,1360455,False
206,2018-06-18 11:51:35.194787,0.2,2.0002000200020003e-05,3,2,7,754779,804001,False
207,2018-06-18 11:51:36.750743,0.4,4.0004000400040005e-05,2,20,5,1165613,1254213,True
208,2018-06-18 11:51:38.300273,0.4,4.0004000400040005e-05,2,33,5,1032330,1405310,True
209,2018-06-18 11:51:39.835063,0.4,4.0004000400040005e-05,2,43,6,1045074,1394036,True
210,2018-06-18 11:51:41.017350,0.04,4.004004004004004e-05,7,5,5,44114,47864,True
211,2018-06-18 11:51:42.167449,0.04,4.004004004004004e-05,7,7,8,39480,54944,True
212,2018-06-18 11:51:43.413111,0.1,1.0001000100010001e-05,6,33,10,67629,139441,True
213,2018-06-18 11:51:44.717378,0.2,2.0002000200020003e-05,3,23,5,465386,631776,True
214,2018-06-18 11:51:45.974045,0.1,1.0001000100010001e-05,6,4,12,138128,138662,False
215,2018-06-18 11:51:49.031024,1.0,1.000010000100001e-05,2,39,10,1979882,2166224,False
216,2018-06-18 11:51:50.350949,0.2,2.0002000200020003e-05,4,11,11,103922,284095,False
217,2018-06-18 11:51:51.658114,0.1,1.0001000100010001e-05,4,28,6,253746,258583,True
218,2018-06-18 11:51:54.682554,1.0,1.000010000100001e-05,1,40,7,779392,3373203,False
219,2018-06-18 11:51:55.934003,0.1,1.0001000100010001e-05,6,19,3,56696,73506,True
220,2018-06-18 11:51:58.997377,1.0,1.000010000100001e-05,0,30,12,2075836,2185364,False
221,2018-06-18 11:52:00.234129,0.04,4.004004004004004e-05,9,15,12,5983,7500,True
222,2018-06-18 11:52:03.338663,1.0,1.000010000100001e-05,1,47,3,1466034,2196234,True
223,2018-06-18 11:52:04.592092,0.1,1.0001000100010001e-05,4,10,7,211598,290232,True
224,2018-06-18 11:52:05.815567,0.1,1.0001000100010001e-05,5,46,3,87705,94097,True
225,2018-06-18 11:52:07.009131,0.04,4.004004004004004e-05,7,15,5,6266,30876,True
226,2018-06-18 11:52:08.550552,0.4,4.0004000400040005e-05,2,2,4,974564,1076602,True
227,2018-06-18 11:52:11.600618,1.0,1.000010000100001e-05,1,26,6,3201473,3269468,False
228,2018-06-18 11:52:12.805280,0.04,4.004004004004004e-05,9,43,4,2173,2982,False
229,2018-06-18 11:52:15.851883,1.0,1.000010000100001e-05,2,37,9,1249167,1727973,True
230,2018-06-18 11:52:17.152954,0.1,1.0001000100010001e-05,4,42,6,164323,324277,True
231,2018-06-18 11:52:18.345746,0.1,1.0001000100010001e-05,4,5,3,27932,103785,False
232,2018-06-18 11:52:19.529330,0.04,4.004004004004004e-05,9,30,3,1895,2168,True
233,2018-06-18 11:52:22.638524,1.0,1.000010000100001e-05,2,34,10,2160855,2180280,False
234,2018-06-18 11:52:23.885489,0.1,1.0001000100010001e-05,4,42,6,254561,330002,True
235,2018-06-18 11:52:25.078548,0.04,4.004004004004004e-05,8,33,6,6396,7497,True
236,2018-06-18 11:52:26.309686,0.04,4.004004004004004e-05,8,8,9,10045,10647,False
237,2018-06-18 11:52:27.679710,0.2,2.0002000200020003e-05,3,13,6,660912,754984,True
238,2018-06-18 11:52:28.894367,0.04,4.004004004004004e-05,9,45,10,4382,6316,False
239,2018-06-18 11:52:30.160419,0.04,4.004004004004004e-05,9,27,7,2245,2871,False
240,2018-06-18 11:52:31.399232,0.04,4.004004004004004e-05,6,22,3,53690,62002,False
241,2018-06-18 11:52:32.653563,0.04,4.004004004004004e-05,9,33,11,5717,6989,True
242,2018-06-18 11:52:38.186960,2.0,2.000020000200002e-05,0,36,10,5196268,8662252,True
243,2018-06-18 11:52:39.623791,0.2,2.0002000200020003e-05,3,6,3,281033,351879,True
244,2018-06-18 11:52:40.814058,0.04,4.004004004004004e-05,8,36,3,3512,3683,True
245,2018-06-18 11:52:43.795360,1.0,1.000010000100001e-05,1,50,6,464525,1376071,False
246,2018-06-18 11:52:45.181738,0.2,2.0002000200020003e-05,3,7,6,658990,716969,True
247,2018-06-18 11:52:46.720088,0.4,4.0004000400040005e-05,2,49,9,606913,837623,True
248,2018-06-18 11:52:47.922261,0.04,4.004004004004004e-05,7,7,3,27076,39045,True
249,2018-06-18 11:52:49.160051,0.1,1.0001000100010001e-05,5,3,7,197390,228492,False
250,2018-06-18 11:52:50.327836,0.1,1.0001000100010001e-05,5,5,6,119421,154761,True
251,2018-06-18 11:52:51.492095,0.1,1.0001000100010001e-05,5,25,4,48881,115776,False
252,2018-06-18 11:52:56.878119,2.0,2.000020000200002e-05,0,20,10,7420116,8082319,False
253,2018-06-18 11:53:02.266870,2.0,2.000020000200002e-05,1,12,11,3711032,4703429,False
254,2018-06-18 11:53:05.369312,1.0,1.000010000100001e-05,1,13,3,1553679,1650147,False
255,2018-06-18 11:53:06.602604,0.04,4.004004004004004e-05,9,43,12,7503,8611,False
256,2018-06-18 11:53:08.121541,0.4,4.0004000400040005e-05,3,36,11,488665,1167309,True
257,2018-06-18 11:53:11.102578,1.0,1.000010000100001e-05,1,21,12,1330906,2243378,True
258,2018-06-18 11:53:12.621437,0.4,4.0004000400040005e-05,2,46,7,1393682,1692201,True
259,2018-06-18 11:53:13.818249,0.04,4.004004004004004e-05,9,19,9,3141,5610,True
260,2018-06-18 11:53:15.060722,0.04,4.004004004004004e-05,9,13,9,1,1665,False
261,2018-06-18 11:53:20.454318,2.0,2.000020000200002e-05,0,16,7,5428116,7327933,True
262,2018-06-18 11:53:23.456297,1.0,1.000010000100001e-05,2,42,11,2312103,2489723,False
263,2018-06-18 11:53:24.743064,0.1,1.0001000100010001e-05,6,42,12,69490,186006,True
264,2018-06-18 11:53:26.125735,0.2,2.0002000200020003e-05,3,40,4,108761,644402,False
265,2018-06-18 11:53:27.357016,0.1,1.0001000100010001e-05,5,42,5,179348,181738,False
266,2018-06-18 11:53:28.528877,0.04,4.004004004004004e-05,9,5,8,586,5299,False
267,2018-06-18 11:53:29.851883,0.2,2.0002000200020003e-05,3,18,4,174422,673405,False
268,2018-06-18 11:53:31.092956,0.2,2.0002000200020003e-05,3,5,7,189939,191301,False
269,2018-06-18 11:53:34.075817,1.0,1.000010000100001e-05,1,42,3,1607129,1923256,True
270,2018-06-18 11:53:36.971950,1.0,1.000010000100001e-05,0,40,6,955072,1130348,False
271,2018-06-18 11:53:38.159740,0.04,4.004004004004004e-05,7,1,4,15105,25749,True
272,2018-06-18 11:53:39.379636,0.04,4.004004004004004e-05,7,33,7,41552,62276,True
273,2018-06-18 11:53:40.718340,0.2,2.0002000200020003e-05,4,31,11,481769,535406,False
274,2018-06-18 11:53:41.895044,0.04,4.004004004004004e-05,9,49,4,711,1659,True
275,2018-06-18 11:53:43.025135,0.04,4.004004004004004e-05,8,34,10,5280,8984,True
276,2018-06-18 11:53:44.255120,0.04,4.004004004004004e-05,7,15,4,46951,50252,True
277,2018-06-18 11:53:49.665210,2.0,2.000020000200002e-05,0,9,12,3510641,6565476,True
278,2018-06-18 11:53:50.999012,0.2,2.0002000200020003e-05,4,36,12,419536,620168,True
279,2018-06-18 11:53:52.256047,0.1,1.0001000100010001e-05,6,22,6,9569,79439,False
280,2018-06-18 11:53:53.437061,0.04,4.004004004004004e-05,8,21,7,1446,1453,True
281,2018-06-18 11:53:54.660047,0.04,4.004004004004004e-05,7,34,8,67492,71286,False
282,2018-06-18 11:53:55.889915,0.04,4.004004004004004e-05,7,2,3,34162,42527,True
283,2018-06-18 11:53:57.015807,0.04,4.004004004004004e-05,8,35,8,2487,6926,True
284,2018-06-18 11:53:58.251122,0.1,1.0001000100010001e-05,4,45,5,83763,170113,False
285,2018-06-18 11:53:59.753121,0.4,4.0004000400040005e-05,3,39,10,978245,990333,False
286,2018-06-18 11:54:00.948733,0.04,4.004004004004004e-05,6,47,5,8013,32891,False
287,2018-06-18 11:54:02.170370,0.04,4.004004004004004e-05,9,12,8,5956,6179,False
